,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,67.25081,74.695984,53.159004,54.370857,47.181168,62.052555,60.212826,46.368187,48.188023,51.639187,52.958965,52.3639,52.82828
IT,78.50322,79.26169,78.37633,76.42502,75.41275,78.06801,77.33876,76.14217,77.06377,78.333,79.50414,78.07763,78.01108
MT,80.93882,81.110054,81.57237,78.52083,77.82684,79.13723,79.48087,79.08006,78.6714,80.684586,81.99446,79.329575,77.79831
SI,74.194916,72.07387,73.06826,72.93651,68.58861,73.09489,72.38034,71.04533,71.0642,72.66266,72.145676,71.84079,73.707634
DZ,51.86633,50.998466,61.29218,65.98961,63.156162,63.309105,61.761208,62.751038,63.178333,65.67262,71.20122,68.21093,65.36211
BE,80.756615,83.31253,83.06602,79.36047,78.03563,79.36979,79.48458,79.25511,79.78192,78.790375,79.803085,78.574585,78.87973
HR,72.12971,70.825714,69.94781,66.46606,66.19031,71.09815,72.680115,70.98015,70.76173,74.186584,73.72085,72.55808,73.61073
DO,62.876408,62.65819,64.14646,64.79625,64.11932,62.26926,63.164146,63.64654,65.56186,63.36869,63.6488,66.059654,67.972305
EG,81.57397,80.869804,79.023026,74.86758,75.142494,76.21227,73.317406,72.45706,74.337,74.011215,74.863396,72.56025,72.05667
FR,82.03211,84.26096,83.42774,80.619156,79.6178,81.41025,80.83355,80.16979,80.68556,80.150314,81.54357,79.87433,80.21825
DE,82.400566,84.63544,85.01954,81.48781,80.79125,82.84892,80.00211,79.79594,80.49421,81.26855,81.93859,79.36731,79.75477
GR,73.04974,71.56493,69.84257,70.46942,69.69874,72.08826,69.24115,68.34271,69.60205,73.98761,76.39831,75.93936,76.30688
GT,62.142376,62.281616,62.459618,61.8022,61.725834,62.37001,55.91218,56.734768,58.98488,58.498913,60.747925,63.90387,65.21736
LB,77.176796,82.35057,80.24493,75.86247,76.80188,77.7565,75.08972,73.99503,74.10739,75.870895,76.332054,77.966896,77.908134
LY,62.611588,68.51685,59.456024,45.97774,43.379692,34.89507,37.01325,45.072838,48.121326,50.02441,47.43079,51.79743,57.154045
ES,80.825325,81.56525,79.79729,77.45303,77.77658,79.020065,77.924835,77.10627,77.224106,77.872314,79.77113,77.9817,77.552956
MX,73.22625,74.09506,74.78264,71.25537,71.42464,73.1031,71.259995,72.39114,72.96759,71.34326,73.7463,71.15601,70.48528
MA,71.28349,79.18405,82.92063,78.79654,77.06071,77.02463,74.84768,74.23468,74.06051,74.728195,75.56846,75.398865,76.28859
PT,75.65439,77.42244,81.386894,77.80266,76.55514,78.7687,77.10674,76.65754,78.689316,80.19599,81.02376,78.244995,77.008644
TN,60.355366,60.398846,62.744423,65.18093,61.91701,65.31735,54.493614,56.275295,54.238136,50.64881,53.445324,54.433228,53.729225
TR,68.65779,68.20713,66.78972,62.88748,63.84967,64.30248,61.259563,61.235085,60.921673,63.698437,65.642006,68.57469,67.729
JE,82.59216,84.49725,84.12509,80.88967,80.31856,82.1219,81.38554,80.807625,80.79355,80.89425,81.976074,80.24659,80.764015
US,83.377686,84.72133,84.40925,81.423965,81.91148,83.08515,83.45637,83.56439,84.46344,82.872604,83.95404,81.9286,81.9044
VE,60.87202,60.1371,57.60716,59.02514,57.950367,57.58083,55.94146,56.901115,60.14956,54.635937,52.59245,47.25921,44.39896
AS,49.98616,53.291515,51.07958,46.456806,41.03335,43.62503,45.32061,40.72575,39.500435,37.776093,38.80158,39.58754,40.507973
AU,66.94884,67.16573,68.19821,66.72284,65.407745,66.76617,66.3168,64.08425,64.05362,64.87341,66.098915,64.5826,66.46023
CA,84.01431,84.58322,84.876564,83.90511,85.07464,86.15997,84.69797,85.30755,86.835365,84.50112,86.9137,84.47126,83.51318
FJ,47.33345,50.181152,53.470703,48.2302,47.492565,51.148525,48.699112,50.12481,48.70176,41.614605,42.35188,42.343613,41.615818
PF,68.02651,65.03779,64.75335,63.664486,62.346638,63.09081,64.20143,63.319996,63.763348,63.777794,63.836006,63.506943,65.5955
HK,79.48133,81.29146,82.53052,80.0775,80.288765,81.15997,78.781136,78.72054,78.6294,76.775566,79.305984,77.532974,77.976204
IN,76.24471,76.44722,75.43617,72.000275,70.90991,74.00926,74.00597,71.78472,72.20072,73.017815,74.307945,71.52913,71.164505
ID,67.53794,67.78552,68.055725,68.46056,69.295975,70.04884,67.634346,65.27074,64.21006,64.44849,65.92616,67.07192,68.09453
JP,77.94148,79.550224,79.845055,77.83965,78.09585,77.962524,75.91145,76.095726,75.88462,74.23353,76.028145,71.4033,70.55762
MY,77.41692,80.49723,80.17269,77.078835,76.42652,78.01533,76.61812,76.053856,76.60823,75.96669,77.26599,75.392784,76.09597
MH,39.05038,38.66876,42.632896,42.289562,40.89623,38.66545,25.429953,29.208088,27.050058,26.961334,30.526564,40.462616,42.127113
