,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,67.25081,149.39197,106.31801,54.370857,47.181168,124.10511,60.212826,92.736374,48.188023,51.639187,52.958965,52.3639,52.82828
IT,78.50322,158.52338,156.75266,76.42502,75.41275,156.13602,77.33876,152.28435,77.06377,78.333,79.50414,78.07763,78.01108
MT,80.93882,162.22011,163.14474,78.52083,77.82684,158.27446,79.48087,158.16013,78.6714,80.684586,81.99446,79.329575,77.79831
SI,74.194916,144.14774,146.13652,72.93651,68.58861,146.18977,72.38034,142.09065,71.0642,72.66266,72.145676,71.84079,73.707634
DZ,51.86633,101.99693,122.58436,65.98961,63.156162,126.61821,61.761208,125.502075,63.178333,65.67262,71.20122,68.21093,65.36211
BE,80.756615,166.62506,166.13203,79.36047,78.03563,158.73958,79.48458,158.51022,79.78192,78.790375,79.803085,78.574585,78.87973
HR,72.12971,141.65143,139.89561,66.46606,66.19031,142.1963,72.680115,141.9603,70.76173,74.186584,73.72085,72.55808,73.61073
DO,62.876408,125.31638,128.29292,64.79625,64.11932,124.53852,63.164146,127.29308,65.56186,63.36869,63.6488,66.059654,67.972305
EG,81.57397,161.73961,158.04605,74.86758,75.142494,152.42455,73.317406,144.91412,74.337,74.011215,74.863396,72.56025,72.05667
FR,82.03211,168.52193,166.85548,80.619156,79.6178,162.8205,80.83355,160.33958,80.68556,80.150314,81.54357,79.87433,80.21825
DE,82.400566,169.27087,170.03908,81.48781,80.79125,165.69785,80.00211,159.59187,80.49421,81.26855,81.93859,79.36731,79.75477
GR,73.04974,143.12987,139.68513,70.46942,69.69874,144.17651,69.24115,136.68542,69.60205,73.98761,76.39831,75.93936,76.30688
GT,62.142376,124.56323,124.919235,61.8022,61.725834,124.74002,55.91218,113.469536,58.98488,58.498913,60.747925,63.90387,65.21736
LB,77.176796,164.70114,160.48985,75.86247,76.80188,155.513,75.08972,147.99007,74.10739,75.870895,76.332054,77.966896,77.908134
LY,62.611588,137.0337,118.91205,45.97774,43.379692,69.79014,37.01325,90.145676,48.121326,50.02441,47.43079,51.79743,57.154045
ES,80.825325,163.1305,159.59457,77.45303,77.77658,158.04013,77.924835,154.21254,77.224106,77.872314,79.77113,77.9817,77.552956
MX,73.22625,148.19012,149.56528,71.25537,71.42464,146.2062,71.259995,144.78229,72.96759,71.34326,73.7463,71.15601,70.48528
MA,71.28349,158.3681,165.84126,78.79654,77.06071,154.04926,74.84768,148.46936,74.06051,74.728195,75.56846,75.398865,76.28859
