,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,0.77295333,0.0,0.0,0.026885334,1.9123377,2.6075535,4.11985,7.627119,3.5675745,0.36818385,1.3711674,0.6792357,4.386466
IT,1.20984,3.0828516,6.3516603,1.76435,0.37662336,0.6239737,1.2822955,0.14124294,0.2443979,0.17774393,1.7012633,4.1759243,7.9826064
MT,0.08737734,1.2490865,1.4719721,1.4786934,0.0,0.04597701,0.24757189,1.1235234,0.04443598,0.031739987,0.18409193,1.8663112,0.09521996
SI,7.4472375,1.3088832,2.9977148,0.32934535,0.3051948,0.026272578,0.0,0.0,1.1172475,1.0918555,0.0,8.176221,1.0537676
DZ,0.013442667,0.0,0.0,0.87377334,0.41558442,0.1182266,0.0,0.0,1.1489875,1.5065913,1.4854313,3.511712,0.0
BE,16.235718,13.3234625,5.5630236,16.93272,32.87987,19.00821,39.990265,44.09348,36.278805,54.041553,36.21109,41.23768,37.08521
HR,1.1627907,3.5944457,2.1911547,0.0,0.0,0.0,0.09521996,0.0032100668,1.0759856,0.006347997,0.0,0.019043991,2.545547
DO,1.5741256,1.8204771,2.359188,3.1388628,0.0032467532,0.0,0.0,0.0,0.0,0.043166384,1.4181426,3.64502,0.082523964
EG,7.947977,1.9301044,1.371152,0.967872,0.071428575,2.1543515,2.7359867,0.69337445,6.954231,5.829578,7.496985,9.995556,3.3295245
FR,11.950531,11.760016,8.31429,1.5543084,5.5097404,1.8390805,3.3517425,15.633026,20.268097,13.764573,33.809433,5.3100996,11.01695
DE,8.923467,2.6840806,5.604472,11.83851,7.762987,1.6059114,9.734653,2.5231125,2.8026407,4.7863903,8.743308,3.2496908,5.3524194
