,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,1.3191157E-12,3.0649426E-12,9.278811E-12,1.0806599E-11,8.89744E-12,4.059983E-12,4.2105655E-12,4.918304E-12,5.5364303E-12,6.4309153E-12,7.6987765E-12,6.501498E-12,3.4165312E-12
IT,8.42431E-9,6.5125936E-9,4.9807247E-9,5.0166156E-9,4.0288524E-9,2.993591E-9,3.029932E-9,2.9489E-9,3.0997265E-9,2.9564615E-9,2.675923E-9,2.802435E-9,2.361376E-9
MT,1.1261226E-9,1.0029035E-9,8.4193486E-10,9.429851E-10,7.592825E-10,5.5865873E-10,5.1693694E-10,5.8711713E-10,6.3308175E-10,7.901289E-10,7.7008305E-10,6.9756495E-10,6.572028E-10
SI,2.0757637E-10,2.1061475E-10,1.8402758E-10,1.7238456E-10,1.6580681E-10,1.2934544E-10,1.6208705E-10,1.7740093E-10,1.9062858E-10,2.2059311E-10,1.6364288E-10,1.719848E-10,1.4859873E-10
DZ,2.7794797E-10,1.5812109E-10,9.868287E-11,7.1767106E-11,6.7083436E-11,4.4117657E-11,4.2005642E-11,4.183874E-11,4.240393E-11,3.7386448E-11,3.598588E-11,3.91287E-11,4.450701E-11
BE,6.7710317E-9,5.4747775E-9,4.2152637E-9,3.6619177E-9,3.105508E-9,2.2245965E-9,2.4853295E-9,2.3507223E-9,2.3546192E-9,1.862791E-9,1.7372855E-9,1.6786559E-9,1.4801212E-9
HR,1.2615546E-10,1.6492645E-10,1.6020238E-10,1.1758247E-10,1.4488383E-10,9.4267594E-11,1.3822489E-10,1.5268929E-10,1.419268E-10,1.2770786E-10,1.2296793E-10,1.3836701E-10,1.3385029E-10
DO,6.67071E-10,5.252341E-10,4.6057855E-10,4.9839133E-10,4.2723866E-10,2.6809752E-10,3.3552092E-10,3.425497E-10,3.535407E-10,2.7052524E-10,2.5845398E-10,3.239178E-10,3.2403752E-10
EG,5.2386824E-9,4.0020374E-9,3.2651635E-9,3.0391363E-9,2.5425955E-9,1.904433E-9,1.6662284E-9,1.5342525E-9,1.7133476E-9,1.4140605E-9,1.4168925E-9,1.2467609E-9,1.1845182E-9
FR,6.86476E-9,5.803615E-9,4.2764405E-9,3.7939665E-9,2.962791E-9,2.143327E-9,2.4753128E-9,2.5245537E-9,2.537871E-9,2.0428328E-9,1.9550255E-9,1.8703044E-9,1.7286231E-9
DE,1.0916258E-8,7.7415185E-9,6.052618E-9,5.2301568E-9,4.1970174E-9,3.5344818E-9,3.6584809E-9,3.4297578E-9,3.4736016E-9,3.1457346E-9,2.663158E-9,2.5494753E-9,2.1875406E-9
GR,1.7227462E-9,9.362555E-10,5.944406E-10,5.937587E-10,5.722904E-10,4.110558E-10,4.938368E-10,5.2562377E-10,6.2026884E-10,6.759866E-10,5.925646E-10,8.055104E-10,8.125861E-10
GT,8.7424273E-10,6.8465955E-10,4.0870293E-10,4.062661E-10,2.5677055E-10,1.3400596E-10,9.699474E-11,1.1225342E-10,1.2770626E-10,9.7401504E-11,9.895374E-11,1.2546578E-10,1.34824E-10
LB,6.7651956E-10,7.239882E-10,4.40668E-10,5.5416033E-10,4.3874387E-10,4.1721232E-10,4.0400575E-10,3.9558568E-10,4.1084122E-10,3.8340575E-10,3.6656853E-10,3.713326E-10,3.6529021E-10
LY,2.087117E-10,3.1496342E-10,1.2405894E-10,7.110932E-11,6.183893E-11,4.129368E-11,3.4985292E-11,4.2247254E-11,5.6183995E-11,3.4652038E-11,2.2679088E-11,2.3275217E-11,2.7211252E-11
ES,1.0077207E-8,7.1540565E-9,5.0903637E-9,4.7916817E-9,4.3975965E-9,3.2452632E-9,3.4597336E-9,3.1703644E-9,3.3176857E-9,2.9528788E-9,2.8566545E-9,2.8093818E-9,2.4397093E-9
MX,3.700482E-9,2.4480962E-9,1.930809E-9,1.8129138E-9,1.6555283E-9,1.3823847E-9,1.3030564E-9,1.3745659E-9,1.5264692E-9,1.3523365E-9,1.1741933E-9,1.238668E-9,1.2058005E-9
MA,1.2534652E-10,2.0274238E-10,7.6090084E-10,9.661911E-10,1.1762386E-9,8.788732E-10,7.7929857E-10,9.876625E-10,1.0541072E-9,7.813644E-10,7.8324014E-10,9.740655E-10,8.5643E-10
PT,7.27413E-10,6.1311434E-10,7.2231354E-10,6.577635E-10,5.622928E-10,4.6903365E-10,4.80598E-10,4.7853665E-10,5.087606E-10,4.9014587E-10,4.8968324E-10,5.248493E-10,4.9781335E-10
TN,9.045395E-11,6.272409E-11,3.729765E-11,3.1998546E-11,3.054532E-11,2.6061885E-11,1.886066E-11,1.9645693E-11,1.8795502E-11,1.4935738E-11,1.2775956E-11,1.3413494E-11,1.2789861E-11
TR,2.6655302E-9,2.1068924E-9,1.9742177E-9,1.694698E-9,1.4695204E-9,1.220626E-9,1.3818896E-9,1.39615E-9,1.7099965E-9,1.6854463E-9,1.5122081E-9,1.7107403E-9,1.8339139E-9
JE,9.283921E-9,6.4497705E-9,4.375361E-9,3.9973425E-9,3.3266396E-9,2.552015E-9,2.6973743E-9,2.5594058E-9,2.6110378E-9,2.3297189E-9,2.1296622E-9,2.11235E-9,1.713924E-9
US,3.033903E-8,1.9831019E-8,1.4857021E-8,1.36770675E-8,1.1401126E-8,8.429286E-9,8.71653E-9,8.236637E-9,8.630833E-9,7.287492E-9,6.562562E-9,6.468964E-9,5.834535E-9
VE,1.7408227E-9,1.1014901E-9,7.8943113E-10,5.820128E-10,4.052132E-10,1.8692377E-10,2.2025531E-10,2.0040256E-10,1.8441164E-10,9.32875E-11,6.095793E-11,3.031475E-11,3.5491658E-11
AS,5.675342E-11,4.569324E-11,2.5482543E-11,1.5602512E-11,9.253968E-12,6.3408194E-12,6.620061E-12,6.632393E-12,6.243826E-12,5.1686676E-12,6.0129766E-12,7.118095E-12,6.991483E-12
AU,4.238968E-9,3.4463967E-9,2.7823095E-9,2.3335265E-9,1.8271152E-9,1.2145736E-9,1.360649E-9,1.33652E-9,1.3863053E-9,1.1210155E-9,1.0670341E-9,1.0902851E-9,1.0003838E-9
