,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,1.0,1.0,2.0,2.0,1.0,3.0,6.0,6.0,3.0,3.0,4.0,3.0,7.0
IT,457.0,463.0,318.0,332.0,330.0,376.0,389.0,299.0,300.0,370.0,438.0,409.0,504.0
MT,77.0,113.0,140.0,142.0,104.0,79.0,67.0,72.0,68.0,79.0,93.0,71.0,60.0
SI,38.0,37.0,19.0,8.0,10.0,6.0,15.0,10.0,10.0,24.0,31.0,26.0,12.0
DZ,16.0,7.0,9.0,4.0,3.0,3.0,5.0,4.0,9.0,15.0,9.0,10.0,6.0
BE,474.0,566.0,596.0,624.0,575.0,436.0,470.0,478.0,558.0,519.0,613.0,534.0,571.0
HR,27.0,23.0,17.0,9.0,18.0,3.0,9.0,8.0,12.0,14.0,17.0,14.0,14.0
DO,101.0,108.0,73.0,100.0,131.0,127.0,112.0,144.0,128.0,148.0,173.0,196.0,146.0
EG,156.0,161.0,152.0,115.0,135.0,144.0,151.0,173.0,133.0,171.0,190.0,235.0,188.0
FR,437.0,490.0,480.0,508.0,481.0,368.0,399.0,442.0,565.0,440.0,560.0,479.0,532.0
DE,339.0,419.0,550.0,440.0,433.0,323.0,389.0,386.0,497.0,382.0,519.0,428.0,498.0
GR,123.0,93.0,95.0,60.0,72.0,83.0,66.0,66.0,74.0,63.0,50.0,90.0,114.0
GT,39.0,44.0,58.0,45.0,43.0,30.0,33.0,18.0,19.0,36.0,84.0,101.0,52.0
LB,24.0,24.0,14.0,11.0,12.0,12.0,18.0,11.0,10.0,45.0,68.0,47.0,27.0
LY,9.0,6.0,14.0,4.0,4.0,2.0,8.0,18.0,10.0,9.0,11.0,12.0,12.0
ES,452.0,461.0,498.0,551.0,512.0,443.0,455.0,481.0,605.0,521.0,634.0,471.0,568.0
MX,109.0,72.0,87.0,103.0,103.0,128.0,125.0,131.0,156.0,165.0,178.0,134.0,86.0
MA,14.0,37.0,121.0,225.0,299.0,242.0,200.0,173.0,266.0,192.0,249.0,245.0,223.0
PT,89.0,90.0,136.0,181.0,172.0,103.0,99.0,88.0,110.0,131.0,138.0,147.0,192.0
TN,12.0,14.0,14.0,5.0,6.0,8.0,10.0,2.0,2.0,2.0,2.0,2.0,3.0
TR,102.0,74.0,73.0,59.0,76.0,77.0,110.0,81.0,71.0,110.0,92.0,143.0,142.0
JE,481.0,538.0,607.0,575.0,551.0,443.0,409.0,447.0,534.0,457.0,586.0,491.0,540.0
US,362.0,299.0,384.0,425.0,521.0,434.0,480.0,508.0,582.0,448.0,506.0,466.0,480.0
VE,83.0,71.0,91.0,74.0,102.0,57.0,50.0,85.0,68.0,60.0,62.0,16.0,19.0
AS,25.0,12.0,14.0,7.0,4.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,4.0
AU,51.0,32.0,75.0,75.0,45.0,50.0,43.0,47.0,48.0,47.0,46.0,51.0,70.0
CA,122.0,64.0,91.0,90.0,105.0,105.0,110.0,119.0,117.0,115.0,66.0,132.0,116.0
FJ,20.0,12.0,34.0,28.0,16.0,14.0,15.0,21.0,26.0,14.0,13.0,16.0,15.0
PF,34.0,18.0,40.0,25.0,10.0,9.0,10.0,13.0,16.0,4.0,4.0,4.0,3.0
HK,326.0,379.0,387.0,346.0,370.0,369.0,377.0,316.0,393.0,300.0,286.0,210.0,216.0
IN,160.0,244.0,220.0,198.0,193.0,167.0,174.0,165.0,175.0,138.0,252.0,224.0,239.0
ID,105.0,88.0,69.0,83.0,44.0,32.0,27.0,15.0,13.0,18.0,10.0,13.0,24.0
JP,144.0,105.0,131.0,156.0,105.0,106.0,106.0,125.0,134.0,107.0,135.0,113.0,103.0
MY,284.0,350.0,345.0,353.0,318.0,284.0,395.0,407.0,482.0,367.0,470.0,328.0,445.0
MH,3.0,3.0,4.0,4.0,2.0,1.0,7.0,7.0,9.0,7.0,4.0,8.0,8.0
NC,25.0,16.0,49.0,42.0,20.0,19.0,18.0,23.0,31.0,26.0,23.0,23.0,13.0
NZ,48.0,34.0,58.0,48.0,25.0,27.0,27.0,47.0,48.0,27.0,27.0,28.0,20.0
PG,38.0,9.0,18.0,27.0,3.0,3.0,4.0,9.0,7.0,15.0,11.0,11.0,9.0
WS,17.0,7.0,14.0,8.0,5.0,4.0,5.0,4.0,12.0,3.0,6.0,3.0,3.0
SA,224.0,231.0,236.0,142.0,208.0,158.0,136.0,169.0,142.0,113.0,140.0,182.0,272.0
SG,309.0,324.0,360.0,457.0,409.0,299.0,308.0,313.0,470.0,354.0,510.0,424.0,521.0
SB,15.0,4.0,15.0,13.0,5.0,5.0,5.0,10.0,11.0,10.0,10.0,11.0,9.0
KR,176.0,207.0,251.0,247.0,209.0,297.0,284.0,286.0,323.0,230.0,364.0,274.0,373.0
TW,161.0,113.0,162.0,178.0,160.0,149.0,136.0,158.0,167.0,116.0,115.0,136.0,177.0
TH,52.0,44.0,58.0,36.0,29.0,24.0,30.0,45.0,31.0,41.0,38.0,45.0,51.0
TO,4.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,12.0,2.0,6.0,7.0,5.0
VU,5.0,5.0,12.0,12.0,5.0,5.0,6.0,7.0,13.0,9.0,7.0,7.0,5.0
WF,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
AO,52.0,81.0,101.0,113.0,72.0,48.0,73.0,80.0,135.0,106.0,155.0,81.0,75.0
AR,31.0,39.0,65.0,58.0,44.0,36.0,34.0,41.0,62.0,20.0,17.0,27.0,16.0
BJ,22.0,10.0,26.0,45.0,51.0,13.0,45.0,50.0,96.0,78.0,132.0,111.0,144.0
BR,134.0,184.0,207.0,211.0,129.0,106.0,78.0,86.0,105.0,53.0,65.0,40.0,31.0
CM,87.0,150.0,87.0,172.0,105.0,76.0,94.0,100.0,110.0,73.0,131.0,76.0,72.0
CV,4.0,6.0,7.0,12.0,6.0,6.0,6.0,6.0,4.0,1.0,1.0,3.0,7.0
CN,292.0,380.0,471.0,544.0,519.0,418.0,417.0,453.0,521.0,432.0,538.0,486.0,532.0
CD,3.0,3.0,2.0,3.0,3.0,3.0,15.0,7.0,12.0,4.0,4.0,4.0,11.0
CG,54.0,116.0,96.0,112.0,30.0,45.0,77.0,52.0,110.0,65.0,69.0,38.0,45.0
CI,97.0,159.0,171.0,255.0,142.0,79.0,57.0,66.0,172.0,91.0,100.0,41.0,54.0
GQ,8.0,6.0,6.0,6.0,17.0,13.0,15.0,19.0,12.0,9.0,14.0,13.0,20.0
GA,53.0,68.0,101.0,82.0,30.0,38.0,56.0,22.0,32.0,31.0,36.0,26.0,24.0
GM,2.0,3.0,5.0,6.0,9.0,7.0,19.0,17.0,11.0,8.0,7.0,3.0,3.0
GH,116.0,171.0,210.0,212.0,109.0,85.0,89.0,88.0,123.0,132.0,102.0,94.0,75.0
LR,4.0,34.0,21.0,10.0,5.0,2.0,4.0,4.0,5.0,3.0,2.0,8.0,5.0
MR,9.0,10.0,8.0,8.0,11.0,6.0,6.0,7.0,9.0,2.0,2.0,17.0,11.0
NAB,14.0,32.0,9.0,62.0,40.0,15.0,20.0,25.0,61.0,34.0,41.0,19.0,22.0
NL,306.0,356.0,399.0,470.0,452.0,404.0,372.0,406.0,398.0,287.0,380.0,359.0,454.0
NG,68.0,100.0,144.0,164.0,201.0,91.0,123.0,117.0,196.0,184.0,268.0,146.0,143.0
ST,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,4.0
SN,57.0,106.0,93.0,60.0,42.0,33.0,41.0,26.0,33.0,40.0,41.0,39.0,51.0
SL,2.0,7.0,9.0,6.0,1.0,3.0,5.0,4.0,4.0,8.0,6.0,9.0,7.0
ZA,141.0,237.0,160.0,198.0,235.0,202.0,112.0,104.0,189.0,142.0,229.0,109.0,87.0
TG,43.0,61.0,57.0,103.0,65.0,64.0,61.0,42.0,148.0,67.0,153.0,76.0,108.0
AE,192.0,250.0,223.0,262.0,264.0,195.0,191.0,219.0,205.0,188.0,292.0,221.0,232.0
AI,2.0,1.0,-999.0,-999.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,4.0,7.0
BS,15.0,15.0,17.0,38.0,52.0,52.0,40.0,33.0,35.0,34.0,51.0,30.0,31.0
VG,6.0,4.0,3.0,3.0,6.0,4.0,2.0,3.0,3.0,2.0,8.0,13.0,10.0
DM,18.0,21.0,5.0,5.0,9.0,7.0,6.0,6.0,7.0,9.0,20.0,6.0,25.0
GP,38.0,35.0,20.0,32.0,31.0,72.0,59.0,55.0,40.0,59.0,83.0,53.0,59.0
AN,41.0,54.0,31.0,25.0,40.0,61.0,44.0,45.0,39.0,41.0,76.0,54.0,58.0
KN,6.0,9.0,15.0,16.0,27.0,9.0,5.0,7.0,7.0,6.0,25.0,19.0,25.0
VI,19.0,22.0,8.0,8.0,18.0,14.0,12.0,9.0,7.0,6.0,10.0,14.0,15.0
AG,19.0,26.0,21.0,21.0,24.0,19.0,15.0,25.0,20.0,15.0,10.0,6.0,5.0
BB,24.0,38.0,39.0,29.0,53.0,37.0,26.0,27.0,31.0,27.0,39.0,32.0,38.0
GD,9.0,29.0,17.0,17.0,18.0,10.0,36.0,34.0,19.0,18.0,45.0,13.0,27.0
HT,6.0,7.0,3.0,7.0,11.0,22.0,16.0,23.0,16.0,28.0,30.0,16.0,13.0
JM,88.0,56.0,78.0,87.0,80.0,112.0,118.0,132.0,128.0,120.0,135.0,122.0,104.0
MQ,34.0,47.0,26.0,33.0,41.0,29.0,16.0,14.0,33.0,24.0,27.0,38.0,32.0
LC,13.0,29.0,23.0,22.0,31.0,13.0,41.0,39.0,35.0,26.0,30.0,12.0,23.0
VC,9.0,17.0,12.0,10.0,9.0,7.0,25.0,20.0,19.0,18.0,53.0,18.0,18.0
TT,80.0,101.0,94.0,90.0,120.0,106.0,77.0,71.0,64.0,67.0,93.0,72.0,62.0
CL,18.0,20.0,20.0,45.0,42.0,46.0,21.0,14.0,16.0,13.0,24.0,25.0,22.0
CO,84.0,66.0,82.0,84.0,91.0,85.0,94.0,120.0,134.0,146.0,235.0,216.0,154.0
EC,24.0,19.0,24.0,28.0,17.0,32.0,17.0,27.0,25.0,26.0,32.0,33.0,26.0
GN,28.0,42.0,34.0,23.0,18.0,16.0,20.0,25.0,30.0,14.0,23.0,18.0,23.0
KW,41.0,27.0,35.0,23.0,20.0,10.0,16.0,12.0,6.0,8.0,3.0,2.0,2.0
OM,141.0,97.0,82.0,102.0,106.0,58.0,85.0,89.0,73.0,77.0,126.0,162.0,197.0
PK,115.0,111.0,86.0,104.0,110.0,94.0,30.0,53.0,48.0,58.0,72.0,51.0,53.0
PE,25.0,23.0,28.0,29.0,22.0,34.0,30.0,17.0,19.0,17.0,45.0,44.0,33.0
QA,26.0,18.0,27.0,9.0,7.0,11.0,9.0,4.0,6.0,7.0,8.0,11.0,35.0
UY,3.0,5.0,8.0,29.0,29.0,25.0,16.0,9.0,12.0,9.0,9.0,13.0,9.0
AW,2.0,6.0,4.0,7.0,22.0,28.0,8.0,6.0,14.0,12.0,9.0,24.0,20.0
CR,27.0,20.0,26.0,35.0,50.0,58.0,61.0,76.0,78.0,53.0,74.0,43.0,36.0
CW,13.0,9.0,13.0,8.0,3.0,13.0,8.0,6.0,20.0,19.0,21.0,24.0,20.0
GY,19.0,44.0,24.0,28.0,42.0,39.0,31.0,31.0,31.0,37.0,35.0,26.0,24.0
PA,46.0,36.0,54.0,113.0,150.0,158.0,179.0,181.0,192.0,195.0,193.0,190.0,131.0
PR,17.0,30.0,23.0,28.0,49.0,33.0,20.0,20.0,13.0,7.0,22.0,26.0,20.0
SR,21.0,21.0,22.0,26.0,36.0,24.0,39.0,48.0,38.0,44.0,34.0,22.0,15.0
CC,1.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
TL,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MU,78.0,104.0,60.0,93.0,66.0,28.0,25.0,24.0,45.0,37.0,39.0,34.0,47.0
NF,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
PH,3.0,5.0,5.0,10.0,12.0,9.0,11.0,20.0,20.0,14.0,13.0,13.0,11.0
RE,26.0,33.0,20.0,42.0,40.0,49.0,12.0,9.0,11.0,15.0,44.0,24.0,43.0
LK,105.0,201.0,142.0,143.0,160.0,103.0,105.0,133.0,186.0,97.0,222.0,175.0,255.0
CU,3.0,5.0,4.0,4.0,5.0,8.0,12.0,10.0,17.0,16.0,13.0,10.0,12.0
BH,3.0,6.0,10.0,3.0,5.0,5.0,4.0,13.0,6.0,6.0,7.0,6.0,2.0
BD,4.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,6.0,4.0,2.0,2.0
JO,91.0,49.0,38.0,16.0,16.0,14.0,19.0,22.0,11.0,11.0,9.0,14.0,20.0
MV,6.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
MM,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,8.0,6.0,6.0,4.0
YE,16.0,14.0,21.0,8.0,7.0,6.0,11.0,8.0,3.0,4.0,3.0,1.0,1.0
GF,14.0,19.0,7.0,8.0,8.0,4.0,8.0,8.0,4.0,4.0,3.0,4.0,4.0
HN,11.0,10.0,17.0,8.0,16.0,13.0,13.0,12.0,12.0,11.0,43.0,32.0,16.0
BG,6.0,6.0,9.0,5.0,3.0,5.0,3.0,5.0,9.0,5.0,2.0,2.0,2.0
CY,13.0,16.0,12.0,9.0,15.0,17.0,29.0,16.0,16.0,8.0,10.0,7.0,7.0
DK,13.0,16.0,20.0,22.0,17.0,16.0,9.0,10.0,10.0,10.0,11.0,8.0,8.0
DJ,77.0,91.0,47.0,48.0,23.0,21.0,16.0,28.0,33.0,32.0,57.0,44.0,51.0
EE,2.0,2.0,3.0,4.0,3.0,1.0,5.0,2.0,7.0,2.0,2.0,2.0,2.0
FI,11.0,12.0,15.0,11.0,10.0,8.0,14.0,26.0,33.0,15.0,15.0,6.0,7.0
GI,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,3.0,4.0,2.0,1.0,3.0
IR,37.0,55.0,41.0,30.0,41.0,40.0,22.0,27.0,8.0,12.0,34.0,29.0,21.0
