,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,2.8637443,1.0221199,2.4081101,1.3688345,0.5010213,1.878037,1.8339926,1.8026041,1.5742357,1.8697133,2.0918856,0.7318942,1.1164302
IT,3.0637379,1.6386747,3.3569858,2.437831,0.72531843,1.5542877,1.8758004,1.5118847,1.4756572,1.9542029,1.717594,1.3495485,1.2242005
MT,2.5144618,0.9441714,2.0622818,1.8282409,0.3480175,0.9687549,1.0786898,0.8469401,0.8066643,0.88922375,0.8782623,0.75783205,0.66254216
SI,3.5152457,1.5880222,3.3139963,1.358861,0.29802355,0.88310754,1.3256954,1.1243188,1.2462239,0.9916009,0.93793565,1.5701085,1.0771308
DZ,3.1253862,1.3412714,2.879443,1.6660709,0.66977155,1.6345692,0.79303294,1.0660157,1.4331753,1.6390425,1.6561178,1.5046622,0.91855025
BE,3.9025078,2.0184896,3.7920258,3.1272693,0.90812325,2.1261823,2.4096563,2.1951582,2.0283685,2.3984387,2.4078357,1.6566044,1.452972
HR,3.3699408,1.5928279,3.311379,1.0486887,0.41297695,0.76381147,1.4533376,1.6483109,1.3867509,1.4748914,1.4226463,1.2377602,1.2207935
DO,2.3357615,1.4471722,2.6244314,2.5348048,0.4854256,0.94619316,1.3325285,1.4197417,1.2026622,1.6061455,1.7262616,1.4825435,0.75275296
EG,3.4155526,1.4725027,2.9342759,1.8533015,0.49347556,1.73228,1.4779912,1.1962303,1.6242471,1.9741142,2.1384344,1.5538034,1.1769867
FR,3.743453,1.8451148,3.5900922,2.4677992,0.89815104,2.089684,2.3102045,2.145048,2.0036323,2.326432,2.3895361,1.6149964,1.423252
DE,3.741093,1.7689393,3.284885,3.0015805,0.8021854,1.9152004,2.1873095,1.896277,1.7604929,2.2707393,2.3066504,1.6034948,1.406922
GR,3.2693574,1.7275659,3.8024995,2.360332,0.6654273,1.955678,1.032223,1.3495193,1.0033269,1.0293016,0.89827627,0.50133544,0.91971236
GT,2.1934173,0.8382859,1.8497249,1.7461734,0.6712909,0.89677304,1.0613508,0.66668046,0.6980361,1.6318998,1.7203673,1.5020155,0.9392859
LB,3.3424625,1.3034306,2.33096,1.3427817,0.2773195,1.0482963,1.4018116,1.3677527,0.8370255,1.632695,1.6556288,1.5063884,0.7592293
LY,3.0045621,1.3564868,3.004842,1.78339,0.3336144,1.0805784,1.9605954,1.9007131,1.6857966,2.3396008,2.351942,1.6078653,1.3910226
ES,3.7779932,1.8140621,3.549061,1.9916686,0.6184028,1.6901388,1.660917,1.5370303,1.7311707,2.2536542,2.147941,1.5991249,1.3845497
MX,2.4418337,1.0686401,2.7700882,2.4480062,0.654671,1.5409757,1.415068,1.5182731,1.3226299,1.6991159,1.879203,1.5684804,1.3771417
MA,3.0861995,1.630572,3.2641702,2.3964474,0.58589655,2.1463478,2.2708707,1.9165572,1.8186755,1.9231997,1.4714291,0.9472732,1.1116449
PT,2.5558848,1.288341,2.9266965,2.3353963,0.6604161,1.3404193,1.6702662,1.2531252,1.2835758,1.5818957,1.7511096,1.0566463,0.9880738
TN,3.0137763,1.5443637,3.1111157,2.7042263,0.7425363,2.087582,1.9828621,1.3420401,1.6832012,1.7082937,2.2110944,0.85726726,1.0987321
TR,2.17584,0.9833413,1.7860166,1.0062954,0.4065916,1.6778406,0.9809717,1.646969,1.3216002,1.4937118,1.4772886,1.4247152,1.0366482
JE,3.811919,2.0502682,3.870136,2.8578749,0.7196352,2.0763862,1.926884,1.919198,1.7851907,2.29857,2.330222,1.6061102,1.4328978
US,2.991536,1.5862415,3.0767112,1.8855249,0.58110553,1.5905365,1.528717,1.5049704,1.4236996,1.5074573,1.4189268,1.35404,1.0314168
VE,1.9316663,0.6528585,1.9967225,1.502311,0.55710715,1.7116804,1.7502767,1.9254341,1.8633386,2.1771026,2.1699245,1.567879,1.3776773
AS,3.8405693,1.9206659,3.3959303,2.7598374,0.69422656,1.6581806,1.6809305,1.2986835,1.5467739,1.4328185,1.4431187,0.74520713,0.74295884
AU,2.5495112,1.5527971,2.351076,2.9475207,0.83523023,2.3182423,2.3594337,1.506418,1.6581498,1.72769,1.7844709,0.80299026,0.97057366
CA,3.33013,1.12714,2.33685,2.929635,0.7852883,2.2119658,2.31504,1.7225522,1.7173257,1.9281458,1.2470357,1.3775586,0.87081677
FJ,3.5393045,1.8307507,3.3252993,2.6686203,0.6993197,1.1188841,2.0945785,1.5848043,1.5440887,1.6918044,1.1964246,0.7681108,0.8919095
PF,3.3090708,1.711413,3.3446171,2.8789196,0.77100235,1.6909733,1.8392092,1.7525841,1.6491712,1.8388389,1.7630295,0.8341652,0.680625
HK,3.4314404,1.5945257,3.1474166,2.4753625,0.6523936,0.9335353,1.7597026,1.6443977,1.6674002,1.5514487,1.8956627,0.6974719,0.69244015
IN,3.3649898,1.6919026,2.6748471,2.9225717,0.67682034,2.0910337,2.3037126,0.86633766,1.5086769,1.9227691,1.1304692,1.4733981,1.2399876
ID,2.8799062,1.3851959,2.4965808,2.6184075,0.64852744,1.6697193,1.971195,1.2135229,1.5763724,1.7767284,1.7824768,0.83913445,0.7838525
JP,1.5245364,1.0515765,2.3238459,1.9799877,0.58411056,1.0930634,1.6261607,1.8506699,1.650714,1.6520923,1.729502,1.1723378,0.8125552
MY,3.1295166,1.6152974,2.6091406,1.9543841,0.48240715,1.6495117,1.8173975,1.6191815,1.5456132,1.7936364,1.8819652,0.65196264,0.60875994
MH,2.6312525,1.2307447,2.6798658,2.7057374,0.69505787,1.686369,2.238226,1.5120844,1.6258895,1.7453512,1.4795551,0.81637645,0.74136096
NC,3.2576506,1.6043375,3.2343135,2.7886539,0.6920248,1.683667,1.8277968,1.7440138,1.6709932,1.9228452,1.781268,0.8263545,0.69733775
NZ,3.4048448,1.768483,2.9885278,2.7385798,0.74718255,1.7711593,2.096267,1.7718596,1.7356526,1.957199,1.7781994,0.76200736,0.91524315
PG,2.2933834,1.3771623,2.1791184,2.6637683,0.28217474,0.5793766,0.9696098,0.8686293,0.6875422,1.077986,1.1802701,0.6529039,0.60373807
WS,3.135673,1.5369401,3.2673407,2.8532033,0.7201342,1.7896942,1.7735903,1.3300035,1.5072407,1.1665461,1.43879,0.76196575,0.6844257
SA,3.4486184,1.797082,3.7696092,2.824685,0.61245894,1.1667088,0.9301794,1.2127415,1.3870233,1.4937763,1.949014,1.425167,1.1414131
SG,2.8365529,1.7039303,2.687222,2.5836756,0.71358794,2.1596198,2.3277013,1.6884731,1.6705002,1.6792703,1.9622883,0.8036722,1.0229238
SB,3.8177695,1.7533753,3.0668516,2.8837743,0.76625323,1.8740544,2.0224624,1.199517,1.3573601,1.5032278,1.41179,0.75479895,0.89329404
KR,2.8612795,1.2050138,2.6098144,2.4818008,0.72404593,1.6661121,1.851169,1.6702474,1.6034616,1.577986,1.9148005,0.71444726,0.83557725
TW,2.8280454,1.1204578,2.9141243,2.2473893,0.6725106,1.3547786,1.6938765,1.3063483,1.5590729,1.4423183,1.2492843,0.71442634,0.629693
TH,3.0607734,1.6975881,1.4398459,1.6573796,0.44242764,0.849443,0.87780327,1.3172427,1.234942,1.0719252,1.0486157,0.8567418,0.9559394
TO,3.0066772,1.5894514,2.988586,2.7502146,0.72391397,1.7888895,1.7639394,1.5554558,1.5059781,1.3581908,1.4370767,0.82190955,0.7562346
VU,2.9868042,1.4610798,2.664259,2.7506466,0.7856608,1.9725709,2.0905008,1.3200685,1.2142572,1.0758379,1.0616127,0.71122,0.6184918
WF,3.3653634,1.4446688,2.5760248,2.734572,0.59920335,1.3182504,1.6319116,1.3071375,1.4232746,1.4110478,1.3189425,0.8622638,0.7807511
AO,2.1067574,1.5222583,2.6314523,2.0865512,0.5704426,1.6209363,1.2427475,1.1418651,1.1621401,1.7828325,0.9786624,1.3890035,1.059963
AR,2.63912,1.4378144,3.139005,3.0374315,0.3901582,0.91094595,1.4070534,1.4065369,1.303866,1.1632739,1.2742709,0.9991339,0.8710755
BJ,1.8028091,1.0955871,1.7817032,2.0135236,0.5664575,1.1515408,1.360055,1.0729458,1.25015,0.9529144,1.241917,0.7134389,0.5069234
