,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,0.093250155,0.09777056,0.08529382,0.100746155,0.105913036,0.121383816,0.121021144,0.125753,0.12400273,0.11201052,0.124514185,0.11002475,0.12871458
IT,0.40631148,0.40690643,0.40409043,0.39894474,0.38956136,0.400123,0.383661,0.37632024,0.37904897,0.3880614,0.39305925,0.38801926,0.3908846
MT,0.344808,0.35794967,0.3763067,0.3611381,0.34958485,0.34898204,0.32362747,0.33321634,0.33647633,0.34636098,0.35186148,0.34896663,0.34881553
SI,0.26312584,0.24324988,0.23562373,0.21885432,0.21326704,0.23679723,0.2686933,0.25254077,0.27416736,0.28271466,0.26498199,0.2876266,0.22274227
DZ,0.2821415,0.26196817,0.26398003,0.2601497,0.29090104,0.29979515,0.23738778,0.23829164,0.2371049,0.2865904,0.2964406,0.29418,0.25392336
BE,0.39983645,0.39900765,0.40463135,0.40632126,0.39394137,0.39736935,0.39081693,0.3914454,0.39551023,0.3946925,0.39964116,0.3871017,0.39522073
HR,0.21814543,0.23941948,0.23317046,0.21792836,0.21089822,0.23050958,0.26874298,0.26490858,0.28408292,0.25903717,0.2529236,0.25006875,0.24723803
DO,0.34572423,0.32971835,0.32927775,0.33886838,0.32496074,0.3227201,0.3288039,0.3396701,0.34029195,0.33646217,0.34893972,0.34735703,0.3429316
EG,0.38010782,0.36975965,0.36882415,0.36330926,0.36076558,0.36838993,0.3476692,0.35078675,0.3474291,0.37574467,0.3817982,0.3772628,0.3595442
FR,0.41646403,0.41391894,0.40999153,0.4105889,0.40186965,0.4020542,0.39014632,0.39411557,0.3995927,0.3926682,0.3994092,0.39625236,0.3960898
DE,0.40683508,0.40763137,0.40732667,0.40291938,0.3877597,0.39432356,0.38466832,0.38454735,0.3898247,0.38671604,0.39336866,0.386072,0.38840425
GR,0.37945604,0.36183155,0.36595973,0.3377251,0.33680552,0.36079162,0.3419706,0.33192083,0.3378467,0.34899855,0.3327839,0.34418485,0.35015607
GT,0.31615382,0.33352503,0.3378755,0.3295725,0.32223773,0.31325814,0.24223512,0.24717379,0.25213397,0.28213206,0.3166369,0.3282807,0.31946796
LB,0.36603057,0.3391366,0.34361097,0.33023018,0.32545793,0.33551753,0.31180745,0.30521074,0.3200883,0.34588856,0.3628813,0.356236,0.3314221
LY,0.27456874,0.30799687,0.30959594,0.20238857,0.18723527,0.19894856,0.19025068,0.21545565,0.22658513,0.23650824,0.24077234,0.24416922,0.23813096
ES,0.41053912,0.40833116,0.40063685,0.40162924,0.3903616,0.39757103,0.38579723,0.38786113,0.3902723,0.38898623,0.39438543,0.3872298,0.39117324
MX,0.37366262,0.35397825,0.36700156,0.36197022,0.34496304,0.3561582,0.34471554,0.3439367,0.3579714,0.3616063,0.37354183,0.3606673,0.35086668
MA,0.2502598,0.32266122,0.37185887,0.38669762,0.3764322,0.38743782,0.36763018,0.36634654,0.37317958,0.36289245,0.37630942,0.37659404,0.3735451
PT,0.30614296,0.29986563,0.35220465,0.3459411,0.3492107,0.33855477,0.33316332,0.3249107,0.32867354,0.3357732,0.35434797,0.35420963,0.36148298
TN,0.24521545,0.24387355,0.24899141,0.23909438,0.2727418,0.28016338,0.20673315,0.15579581,0.18525079,0.19156505,0.19284174,0.15903689,0.16481115
TR,0.36803097,0.34884804,0.3446539,0.33751547,0.3410989,0.34927088,0.34104046,0.3394593,0.33652392,0.35376632,0.350796,0.3600455,0.3527631
JE,0.40977257,0.4123044,0.4091205,0.40892515,0.39638206,0.40128195,0.3899648,0.39382625,0.3990374,0.39141542,0.397824,0.39495358,0.3955356
US,0.3984962,0.39466673,0.40208912,0.4039802,0.3938962,0.39993477,0.39119318,0.39362922,0.39742184,0.39359742,0.39927176,0.3962066,0.3957949
VE,0.3497609,0.32870048,0.3221007,0.32609725,0.32344332,0.31380248,0.31554466,0.33056453,0.33763936,0.3022864,0.26100796,0.25377584,0.22587508
AS,0.3178248,0.3441419,0.2527624,0.22005264,0.16023536,0.16150288,0.15396091,0.15436669,0.1501518,0.15183882,0.17111048,0.16890588,0.17077176
AU,0.35188046,0.36410865,0.36191767,0.35878563,0.3510516,0.3571119,0.35804766,0.3389698,0.3302841,0.3392643,0.3421526,0.34292492,0.34628475
CA,0.39868164,0.39636233,0.39307526,0.39340603,0.38513568,0.39056548,0.37818745,0.3755162,0.37507793,0.3878477,0.38147685,0.38611484,0.3797195
FJ,0.3055978,0.30398032,0.27836463,0.26105353,0.27033177,0.2725847,0.26868108,0.25975445,0.25301838,0.17099431,0.18613595,0.19235317,0.19276394
PF,0.3369162,0.35901108,0.35301954,0.32219198,0.25500396,0.25089005,0.24656527,0.24057828,0.25310877,0.24934044,0.24970627,0.24190976,0.25520754
HK,0.39445323,0.39544705,0.39921677,0.4016922,0.39159372,0.3966823,0.3819621,0.38085857,0.38496408,0.38361633,0.3836668,0.37417835,0.36875057
IN,0.3713139,0.37528452,0.37790737,0.368891,0.36214516,0.36776584,0.34924743,0.3506143,0.3526689,0.35788706,0.36411595,0.36358044,0.36859873
ID,0.36090887,0.36699343,0.36408794,0.35977763,0.34980896,0.3473176,0.29163805,0.27442384,0.26240116,0.26363808,0.25745028,0.302265,0.33428767
JP,0.3796713,0.37739572,0.38195866,0.38576028,0.36560076,0.37240312,0.36115155,0.35772142,0.35506994,0.35965237,0.36995846,0.35110512,0.35300884
MY,0.3824381,0.38321146,0.38931358,0.38224158,0.37283185,0.38806868,0.38623098,0.38509217,0.38872597,0.38338342,0.39090338,0.36766815,0.369289
MH,0.14335608,0.14339636,0.15352467,0.14929086,0.12210143,0.12353269,0.12834863,0.12771285,0.12227949,0.117939994,0.12546389,0.13779734,0.13719983
NC,0.32620713,0.32266057,0.30971175,0.30064067,0.2868221,0.28604892,0.28740543,0.2728605,0.27343014,0.26300216,0.26733607,0.27245545,0.27429816
NZ,0.35273218,0.36475557,0.3548075,0.31297112,0.29461896,0.29062015,0.285761,0.28325453,0.28431055,0.2818958,0.28885207,0.28731382,0.2871607
PG,0.33394203,0.34670618,0.31520924,0.32094067,0.20929185,0.21598227,0.20446008,0.20074119,0.1995673,0.19947116,0.20112932,0.19663121,0.20138682
WS,0.22248395,0.2536554,0.25276247,0.21525009,0.15632367,0.15724044,0.14870246,0.1492154,0.15185477,0.15258501,0.1711105,0.14658327,0.16789362
SA,0.3667784,0.37461925,0.38403064,0.37501368,0.37372398,0.37716442,0.3521799,0.351142,0.35231686,0.359358,0.368954,0.36496678,0.36442164
SG,0.3797836,0.3723422,0.3781949,0.38339806,0.36907542,0.37388194,0.36055353,0.35895136,0.37274206,0.3748268,0.38807103,0.37968826,0.3765564
SB,0.29864353,0.2688328,0.28923222,0.27529916,0.16470896,0.19706358,0.19893436,0.19567363,0.19579893,0.1904808,0.18919973,0.18470858,0.18962899
KR,0.38603422,0.39083344,0.39984524,0.39815864,0.38429937,0.39621276,0.38718835,0.38842618,0.3900245,0.38791683,0.39677066,0.38852417,0.38824806
TW,0.38480628,0.37713477,0.3853893,0.38822713,0.38102147,0.38235518,0.36861736,0.36777005,0.36816594,0.36371565,0.3772755,0.36878067,0.36965403
