,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,0.17614846,0.17782678,0.17806205,0.17712635,0.170523,0.170034,0.16419208,0.16678508,0.16896893,0.16778369,0.17369191,0.1687036,0.1671937
IT,0.08415284,0.08294501,0.08839701,0.09185112,0.0902915,0.08292359,0.08607775,0.09668,0.09785159,0.088405974,0.09405378,0.08913016,0.08627147
MT,0.13313147,0.12876414,0.11854781,0.12448028,0.12094821,0.123606555,0.12750728,0.12829918,0.12963274,0.12113764,0.12539142,0.12096486,0.12162044
SI,0.15465377,0.16033706,0.1605695,0.16431102,0.15662521,0.15537071,0.14371149,0.14944415,0.147782,0.14247191,0.15355805,0.14280899,0.15520552
DZ,0.15281552,0.15993744,0.15805751,0.15901408,0.14572613,0.14595087,0.15039155,0.1529583,0.1548104,0.14218658,0.14800088,0.14174305,0.15002473
BE,0.077436715,0.08126638,0.07396884,0.07604769,0.07485178,0.0764898,0.07573034,0.081326194,0.08101715,0.073603645,0.08239701,0.08357704,0.078196175
HR,0.16304307,0.16130269,0.16138104,0.16453478,0.15802096,0.1566727,0.14397869,0.14718425,0.14566351,0.1476096,0.15602656,0.1507369,0.15132757
DO,0.13098854,0.1414641,0.13932002,0.13465896,0.13187103,0.13494505,0.12603997,0.12531696,0.12686898,0.12523223,0.12823033,0.1217067,0.124067605
EG,0.115761764,0.12358778,0.12232597,0.12541896,0.11675671,0.11487179,0.11837565,0.12018079,0.123776734,0.10645099,0.11196873,0.10623997,0.11461634
FR,0.071793586,0.07295143,0.07922475,0.08246628,0.077141605,0.08102564,0.07994814,0.08154921,0.07953873,0.08101715,0.08572888,0.08082865,0.07937194
DE,0.08084457,0.08232152,0.0779928,0.08678027,0.08826188,0.088860355,0.08660523,0.09207177,0.09151061,0.08963515,0.09474814,0.09113608,0.0896407
GR,0.11950867,0.13107869,0.12758051,0.13743886,0.12799272,0.12129464,0.12431269,0.12859432,0.12879108,0.12250545,0.13572064,0.123898014,0.12230895
GT,0.14137946,0.14082557,0.13843298,0.13948227,0.13344155,0.13866134,0.14770444,0.15040065,0.15168539,0.14249924,0.14077047,0.13025385,0.1339549
