,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,0.02815081,0.02929778,0.03158361,0.04179793,0.057294033,0.05393739,0.058003142,0.060391087,0.055987924,0.04780163,0.057292093,0.04725355,0.063528284
IT,0.22652265,0.22753976,0.22951557,0.22644714,0.2249938,0.23099433,0.2164599,0.21266362,0.21702708,0.22484927,0.22828606,0.2233805,0.22314242
MT,0.2027093,0.21252634,0.2234082,0.2130418,0.20840698,0.20850721,0.1934067,0.20042478,0.20291358,0.20974071,0.21047768,0.20912004,0.20782094
SI,0.1499734,0.14008404,0.1346407,0.12099319,0.11697853,0.13092113,0.15457374,0.14361088,0.1584042,0.1660364,0.15233277,0.16952823,0.12293042
DZ,0.16041254,0.14264563,0.14728522,0.14312945,0.1648336,0.17185357,0.12726775,0.12932931,0.13390319,0.16937916,0.17327392,0.17321448,0.14522497
BE,0.21196039,0.21158893,0.21683158,0.22108644,0.2153489,0.21843116,0.21376106,0.21538456,0.21931042,0.21511617,0.22129954,0.2119529,0.21586105
HR,0.11794435,0.13648872,0.13357945,0.12012656,0.12266965,0.12689656,0.15353094,0.14979182,0.1637179,0.14809233,0.14288247,0.14061812,0.13738751
DO,0.20484707,0.19744007,0.19931732,0.20794126,0.19964582,0.19796753,0.1998108,0.20497803,0.20623139,0.20313318,0.20985407,0.20755735,0.20486896
EG,0.22501548,0.22232676,0.22211094,0.21809015,0.2180052,0.22299589,0.21012409,0.21312766,0.20948571,0.22810431,0.23195222,0.22583614,0.2160734
FR,0.22646438,0.22044364,0.22117019,0.22682773,0.22181812,0.22158507,0.21187986,0.21416926,0.21944243,0.21490337,0.22229111,0.22044696,0.218258
DE,0.22324644,0.22395688,0.2243686,0.22592296,0.22304426,0.22722688,0.21798368,0.22018161,0.22357397,0.22114195,0.22736868,0.22210474,0.22338575
GR,0.2267021,0.21841654,0.21912012,0.20082074,0.20153317,0.21964918,0.20985559,0.19988889,0.20466764,0.21424155,0.20300846,0.210108,0.2139655
GT,0.19000176,0.2044776,0.20835987,0.20526269,0.19921717,0.19140697,0.14263181,0.14308009,0.14619446,0.16772768,0.19217691,0.20014915,0.19471236
LB,0.22084339,0.20438409,0.20734124,0.19663674,0.194844,0.20242219,0.1868108,0.18159549,0.1943132,0.21181327,0.22261669,0.21808843,0.20285963
LY,0.15402357,0.17816882,0.18146318,0.11066062,0.09854655,0.10317796,0.10447214,0.12300194,0.1294813,0.13507757,0.13758795,0.14016299,0.13701369
ES,0.21936601,0.22396757,0.2222546,0.22587544,0.21908809,0.2220898,0.21466684,0.21645124,0.21765798,0.21628828,0.21869679,0.2153623,0.21474856
MX,0.22551993,0.21467614,0.22135934,0.21947905,0.20771962,0.21300744,0.20540957,0.20412406,0.21405557,0.21685576,0.22429743,0.21544446,0.2074248
MA,0.14365475,0.19355848,0.22416334,0.23043007,0.22279453,0.22812337,0.21886493,0.21523513,0.21881567,0.2121141,0.22120748,0.2187876,0.21547422
PT,0.17444979,0.17211597,0.20274942,0.20155439,0.2072013,0.2007793,0.19722092,0.19324854,0.1966414,0.19926028,0.21162356,0.21299344,0.21203673
TN,0.1386415,0.13707583,0.13956901,0.13318643,0.15531076,0.1621469,0.113485456,0.07650546,0.095901385,0.09825098,0.09875825,0.07517403,0.083467446
TR,0.22092879,0.21136415,0.20830792,0.20216249,0.20686392,0.2113392,0.20702396,0.20457874,0.2037831,0.21713364,0.2124206,0.21563539,0.21028975
JE,0.21414603,0.21639568,0.21578918,0.21957608,0.21392697,0.21862392,0.21217848,0.21406083,0.21707031,0.21144824,0.2166013,0.21519132,0.21409148
US,0.20892541,0.20758772,0.21644491,0.22021534,0.2113269,0.21418159,0.20467657,0.20382376,0.20684198,0.20656654,0.21307352,0.21192327,0.21072908
VE,0.21572047,0.20114332,0.19714765,0.2021546,0.20081033,0.19179657,0.19252053,0.20129086,0.20832741,0.18235989,0.16135646,0.15327983,0.13982424
AS,0.19235234,0.21066488,0.14632532,0.123800755,0.08970721,0.090573765,0.08835225,0.088481545,0.084830925,0.086556405,0.09885676,0.09473952,0.09679356
AU,0.21240804,0.22173278,0.21680936,0.21392176,0.20588456,0.20946305,0.21098779,0.19877353,0.1931376,0.19845113,0.20161906,0.20236069,0.20301576
CA,0.23734812,0.23667215,0.2335968,0.23859496,0.23238629,0.23453866,0.22419935,0.22424895,0.22424932,0.23293197,0.23034008,0.22887102,0.22374491
FJ,0.1850335,0.18253145,0.16292816,0.15223457,0.15562889,0.1582503,0.15751737,0.15287156,0.14824289,0.098931946,0.10938906,0.110789396,0.111345366
PF,0.20449172,0.22078775,0.2134651,0.19043677,0.14345212,0.14134774,0.13998425,0.13724206,0.14209028,0.13937168,0.1396994,0.1362086,0.14516596
