,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,2.1356584E7,2.5504162E7,2.6275542E7,3.1634166E7,3.6160304E7,3.8438216E7,3.631964E7,3.9110948E7,4.1723128E7,5.2126868E7,5.6367488E7,5.8138704E7,5.775178E7
MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZ,3691982.2,3115534.5,1780324.8,1144009.9,1521884.9,1508836.8,1180491.8,1406434.5,1222590.4,1139466.8,1046240.25,1136443.0,1430606.0
BE,0.0,0.0,202632.5,419150.75,520007.2,459052.62,1506635.5,1801174.6,1802762.4,546259.44,248343.8,0.0,1402715.9
HR,89162.0,99341.0,247685.6,347932.28,121322.375,87553.25,240180.84,502893.78,430594.84,229496.88,143667.8,285069.72,377890.03
DO,302487.44,170368.22,429538.06,542867.94,437849.0,449367.88,451402.3,942406.0,1191585.2,1428459.6,1725403.4,1413899.8,1366481.2
EG,2073394.2,3590179.8,3359438.8,4799567.5,5437101.0,6412663.0,4401473.5,3479930.8,4907674.0,5211169.0,7907395.0,8340561.5,7845472.0
FR,5364036.0,7137519.0,5754556.0,6141341.0,5697538.0,5993671.0,5625427.0,6933400.0,7317181.0,6648464.5,7750055.5,7715932.5,7843912.0
DE,9470410.0,8887535.0,9483499.0,9462859.0,7979168.5,9364180.0,1.1233977E7,1.0178227E7,1.0248882E7,1.217849E7,1.3149764E7,1.819201E7,1.4276974E7
GR,1891551.2,2159247.8,1613383.4,1222723.4,1375846.2,2208043.8,2242746.5,2085931.0,2154257.8,2345066.8,2147972.0,2069047.6,1673458.2
GT,0.0,0.0,0.0,13979.0,25163.0,25163.0,25163.0,25163.0,25163.0,25163.0,8387.0,0.0,0.0
LB,0.0,0.0,0.0,25890.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67589.0,378456.75
LY,1310492.2,2363873.0,2172145.0,1961883.6,2230868.5,2880568.2,2083448.9,1420584.5,1184060.1,879642.9,769285.0,775287.1,743642.06
ES,3.1247814E7,2.9830414E7,3.385888E7,3.4150104E7,3.6796208E7,3.760056E7,3.701476E7,3.55814E7,3.6706544E7,3.92266E7,4.3202072E7,5.0082352E7,5.1523088E7
MX,5965923.5,6134674.5,7320371.5,8911855.0,1.0074836E7,1.2417107E7,9412718.0,1.0714536E7,1.248754E7,1.3035456E7,1.4936297E7,1.6157119E7,1.72709E7
MA,851985.44,868955.0,883327.94,776724.4,1055964.2,1001567.4,766254.44,1202026.0,1807055.2,2086984.2,2378408.0,1923141.6,2503492.5
PT,3526774.2,4146371.5,4400968.5,5306351.5,5355296.5,4271391.0,4773294.0,5174593.0,5811125.5,5596797.5,5457690.5,4999282.0,5620281.5
TN,307390.94,367469.88,241550.86,168833.0,301792.44,389229.62,289766.22,274460.53,238835.86,286867.5,178524.28,240360.94,353119.66
TR,1.3209228E7,1.5506529E7,1.891343E7,2.1852592E7,2.3883476E7,3.0578988E7,3.472644E7,3.8342844E7,4.7885276E7,5.7396624E7,6.314398E7,6.4382704E7,8.0182032E7
JE,2176759.2,3365736.8,3064429.0,2852783.2,4260575.0,5195025.5,4583581.0,4920606.0,4083459.0,5394978.0,6742235.5,8477847.0,6198588.5
US,1.45373728E8,1.51531936E8,1.50756416E8,1.7097136E8,1.9177232E8,2.05431488E8,1.95165216E8,1.926448E8,2.01447808E8,1.98717152E8,2.1301584E8,2.30103472E8,2.35173232E8
VE,7643467.5,5270045.0,6764796.5,5585882.5,4389062.5,3962928.8,4420422.0,3913629.8,2748087.8,2254606.8,1989020.2,1071896.6,1533207.5
AS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,2.6713248E7,3.6935348E7,3.9329756E7,3.6311372E7,3.6533216E7,3.395178E7,3.3285074E7,3.7031328E7,3.6781328E7,3.6991744E7,4.0653536E7,4.1692664E7,4.2126988E7
CA,1575853.6,1206784.1,4154103.0,2951433.8,2540534.5,2799076.0,2645745.0,2372986.8,2290297.2,3022879.2,3760254.8,2979858.0,3351879.5
FJ,265111.44,336635.56,358549.44,501564.5,607054.6,635096.4,422248.06,330714.12,350074.25,368599.62,352233.7,411838.44,316178.1
PF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6548.75,6548.75,6548.75
HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,7913963.5,1.0237851E7,9824827.0,1.2109016E7,1.4154779E7,1.6217728E7,1.6101681E7,1.8932856E7,2.1061706E7,3.0575822E7,4.1352472E7,4.859958E7,5.2715644E7
ID,9415943.0,1.0332327E7,1.0562975E7,9484554.0,1.0069598E7,1.2109508E7,1.0055824E7,1.0719093E7,1.0940288E7,1.1940374E7,1.3520981E7,1.661004E7,2.1314302E7
JP,1.3284048E8,1.37338624E8,1.38186864E8,1.42149904E8,1.50824112E8,1.46755424E8,1.43481792E8,1.39441056E8,1.4168552E8,1.53697088E8,1.64895584E8,1.64363888E8,1.66255472E8
MY,1.1178206E7,1.2955484E7,1.2892834E7,1.904073E7,2.0264016E7,2.1741366E7,2.1874202E7,2.2412094E7,2.2860812E7,1.9535316E7,2.1703776E7,1.981008E7,1.984532E7
MH,13199.0,18479.0,0.0,0.0,0.0,0.0,38618.0,16646.75,17226.125,17805.5,17805.5,21068.0,20851.25
NC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26426.5,47568.5,29140.25
NZ,1.595558E7,1.9540578E7,1.8396032E7,2.234694E7,2.5062728E7,2.3863086E7,2.3359576E7,2.5530776E7,3.0064102E7,3.4360056E7,3.558096E7,3.6502644E7,3.1766564E7
PG,886734.25,1174868.4,1345709.2,1780139.2,1840943.9,2324777.0,1648180.4,1948758.6,2981459.5,2925193.0,2810148.2,3469224.8,3612287.5
WS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA,345034.2,377206.78,269120.28,743597.9,1586994.8,766614.94,2283362.8,4255591.5,5807846.5,7191133.0,9177155.0,1.0101275E7,9100677.0
SG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB,0.0,0.0,0.0,0.0,3319.0,24443.0,63998.0,106854.31,31969.25,32214.5,4592.0,0.0,49759.0
KR,1.6662889E7,2.0580986E7,2.1461728E7,2.3615244E7,2.692927E7,2.9943898E7,3.0971116E7,3.2961214E7,3.2970234E7,3.3764612E7,3.6327808E7,3.3866504E7,3.6066852E7
TW,1.4358262E7,1.6068153E7,1.5317003E7,2.1051502E7,2.3932264E7,2.5585362E7,2.474042E7,2.4751808E7,2.3374468E7,2.4642188E7,2.6628678E7,2.6269622E7,2.8487638E7
TH,4818057.5,5268562.5,4700888.0,4825973.5,6034088.5,6208029.5,5704316.5,5665870.5,5700208.5,6262537.0,6520501.5,6319500.0,6544203.5
TO,0.0,0.0,0.0,0.0,29044.0,29465.0,6650.0,0.0,0.0,2985.5,2985.5,0.0,0.0
VU,75236.75,87922.25,100997.0,77921.0,44774.0,61689.5,89903.94,98276.19,97781.75,79118.0,102898.25,77403.5,90243.125
WF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AO,990864.8,1218433.8,1133118.9,1545395.0,1469540.1,2142359.5,2595340.2,4041167.2,3571387.0,2646882.8,2009474.8,1977945.9,628059.0
AR,2450796.0,1038647.8,1076122.8,1493903.0,1465069.5,1628712.6,2140245.8,3049336.8,2019871.4,1827572.5,1598923.4,2467892.8,2444257.0
BJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR,9.647812E7,8.1290312E7,9.6757024E7,1.0900904E8,1.38524704E8,1.41433952E8,1.302194E8,1.39092512E8,1.41665728E8,1.41648816E8,1.42368976E8,1.54791936E8,1.59890672E8
CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785393.9
CV,105467.75,128998.25,157824.12,223543.25,262325.38,266661.7,270785.94,162254.94,149559.4,130949.83,170773.22,219763.66,450487.22
CN,2.5544616E8,3.42719168E8,4.27563072E8,4.59344896E8,5.14873984E8,6.4860858E8,6.2761958E8,6.533543E8,6.5169965E8,7.418352E8,8.1180877E8,8.248295E8,8.8514784E8
CD,98957.66,65304.125,79237.625,89760.5,244110.1,258272.0,238726.12,159191.0,296502.6,166997.75,72308.375,63224.844,127982.0
CG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CI,691091.0,502121.0,529020.9,617131.25,836744.7,356104.72,189895.06,338114.7,742430.5,121282.25,514131.6,692697.0,1031099.75
GQ,69733.44,101961.97,179396.84,215241.88,170987.75,174386.94,197435.38,154736.0,285941.0,281055.78,226768.62,431663.8,360004.8
GA,215212.62,176262.5,170415.31,139998.5,115942.91,144040.39,109628.0,194273.42,322138.4,314615.34,347172.56,406544.8,344275.06
GM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH,373721.75,336706.44,332666.56,746925.8,698304.7,788770.6,562733.3,320870.75,143108.75,122858.0,283156.1,607317.4,605980.25
LR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MR,92666.0,42902.0,35754.0,92506.25,71231.75,38501.0,38501.0,18779.0,246057.31,151435.25,271889.0,228721.25,283129.25
NAB,0.0,10442.0,30005.0,28682.0,90039.5,189980.0,52649.0,56219.75,67985.0,67985.0,67000.25,65021.0,65996.0
NL,332034.4,316734.4,397158.38,264450.75,172457.67,151642.75,167571.36,198930.25,264806.25,309706.47,386499.97,307868.28,635773.6
NG,497652.28,864762.2,1152379.1,774003.1,1203703.5,1467735.4,2490477.0,2753486.0,3819822.8,4031309.2,4599655.5,4477474.5,4463824.0
ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN,0.0,0.0,16977.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZA,8599785.0,9898873.0,1.0011172E7,1.0982774E7,1.1099042E7,1.2923812E7,1.1646982E7,1.2762899E7,1.2062415E7,1.3738232E7,1.3253972E7,1.360267E7,1.3697139E7
TG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AE,7337790.5,8620842.0,7994305.0,6922397.0,7719224.0,8229978.0,1.1473964E7,1.727951E7,1.6058325E7,1.6555577E7,1.8505574E7,1.8946382E7,1.7061062E7
AI,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS,0.0,21746.0,49424.0,49424.0,49911.5,48887.0,43064.0,43064.0,43064.0,245006.0,245006.0,197621.0,152634.5
