,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,135915.28,181746.67,147846.86,201591.88,191013.6,142051.02,174490.17,174636.38,150645.5,149315.25,154469.67,275915.44,376969.66
IT,118537.52,143910.94,132362.86,156004.53,181666.38,149600.88,173184.83,180155.12,162403.5,146177.12,163768.84,221373.44,375767.62
MT,145141.28,192753.17,162758.11,168508.75,218822.6,187302.84,217634.33,233237.88,208255.75,206891.22,220546.17,277454.66,435342.66
SI,126689.27,154135.17,132427.86,211079.25,228608.84,198052.94,192570.67,202335.8,173477.3,173429.44,204381.8,209212.44,376336.66
DZ,131791.28,153009.67,138818.86,176998.64,167851.84,146509.19,242734.05,205826.88,154782.0,159717.0,170884.67,212554.75,390807.34
BE,133267.0,139505.19,124857.86,135938.88,181666.38,138669.19,165703.0,157562.94,129001.5,136122.5,144772.67,204775.44,357289.66
HR,131232.5,154135.17,132427.86,241548.5,224642.34,212673.02,187699.17,176021.64,157060.0,162649.5,177602.08,222576.44,378057.88
DO,146668.86,160662.69,145702.86,144349.88,196743.52,198714.25,199521.33,177670.62,161739.0,158548.0,166289.67,212674.44,418668.62
EG,118783.92,126663.17,135949.73,162496.0,189570.97,146795.06,181728.67,186662.88,146925.5,146956.5,154585.67,208053.44,380056.16
FR,123288.27,145631.17,129026.86,158913.88,182388.38,138669.19,167511.0,155754.94,130809.5,137930.5,144772.67,206583.44,359097.66
DE,137037.17,139505.19,135949.73,148194.94,165277.97,148390.44,173184.83,164484.12,135121.5,140270.5,148920.67,204775.44,357289.66
GR,120779.42,137928.67,129026.86,156904.44,150919.6,145148.39,215087.67,192110.38,184030.5,191212.7,218262.94,338124.44,394575.66
