,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,1.0,0.6666667,0.4,0.46666667,0.27272728,0.375,0.75454545,0.8727273,0.8611111,0.6785714,0.75555557,0.6785714,0.92424244
IT,0.038596492,0.065656565,0.14481075,0.04737485,0.04790591,0.04494382,0.01929182,0.0052246605,0.021117348,0.020048115,0.059754852,0.19965102,0.24041514
MT,0.07535461,0.0642907,0.06779661,0.20225988,0.04040404,0.097833686,0.20190275,0.10570825,0.10909091,0.060392156,0.01942356,0.19158201,0.064313725
SI,0.73646724,0.28015196,0.34833333,0.25730994,0.251634,0.3627451,0.05253623,0.256917,0.28833333,0.18965517,0.17230769,0.61083746,0.3857143
DZ,0.28225106,0.3,0.35,0.51648355,0.5036765,0.5522876,0.43589744,0.64835167,0.67320263,0.33128202,0.15821257,0.25446153,0.374269
BE,0.16708891,0.17013858,0.08994463,0.25448805,0.3721566,0.26639193,0.45843643,0.4639604,0.4845661,0.5976186,0.44651106,0.56254315,0.36880758
HR,0.43137255,0.5682367,0.49833333,0.64705884,0.11904762,0.69485295,0.6060606,0.6017316,0.51166666,0.38,0.4293478,0.51449275,0.5619048
DO,0.3138608,0.3453997,0.32850242,0.3099882,0.012488437,0.0,0.020968238,0.008843537,0.0070588235,0.02462745,0.10780399,0.1038075,0.12857978
EG,0.1704918,0.13157895,0.05974026,0.10412299,0.0642907,0.20387174,0.12078431,0.06184012,0.2893082,0.28785476,0.3512545,0.21442112,0.24699454
FR,0.23497012,0.2179054,0.1930403,0.06590574,0.14117399,0.082796395,0.13606061,0.27574256,0.33339804,0.2977739,0.5356436,0.1664212,0.31838384
DE,0.14140923,0.12662607,0.13010329,0.2544591,0.27664578,0.1253078,0.20620531,0.14728682,0.15621735,0.13417178,0.18471228,0.12995347,0.08032612
GR,0.133672,0.29351655,0.6626581,0.31007752,0.33232322,0.30342275,0.0045045046,0.20598006,0.001010101,0.027484143,0.085020244,0.03102837,0.09713229
GT,0.1519309,0.13015647,0.07282282,0.051260505,0.15079366,0.08266129,0.25783476,0.21195652,0.1,0.32229885,0.14836414,0.2720402,0.07112376
LB,0.5829391,0.106153846,0.041538462,0.12307692,0.046666667,0.45868945,0.34188035,0.0,0.074074075,0.2622096,0.22903451,0.30987805,0.06236559
LY,0.18300654,0.32105264,0.56277055,0.51428574,0.5934066,0.5833333,0.5147059,0.6884058,0.5281385,0.66233766,0.8831169,0.6666667,0.71936756
ES,0.24634007,0.18745022,0.03507377,0.027323628,0.00745614,0.06338899,0.0,0.018093836,0.20132013,0.12816486,0.12776281,0.14572373,0.117905155
MX,0.2656628,0.109178744,0.26588234,0.13328494,0.21794872,0.42077923,0.30995476,0.3501048,0.26378447,0.34687322,0.3814754,0.677013,0.5812772
MA,0.58756036,0.57983196,0.09647059,0.06885246,0.189441,0.12785389,0.115079366,0.2778555,0.2528693,0.13561368,0.05765766,0.023239918,0.06736842
PT,0.15622896,0.1736212,0.31835008,0.18907104,0.20084746,0.053198654,0.22023809,0.13800906,0.20936139,0.21198831,0.25983062,0.10133091,0.060832202
TN,0.45224172,0.6900584,0.7037037,0.75,0.7923977,0.7987013,0.5833333,0.0,0.6969697,0.7878788,0.77272725,0.6111111,0.47272727
TR,0.009146539,0.010256411,0.007317073,0.05226481,0.1721417,0.0017730496,0.060908083,0.015726179,0.08383838,0.014455782,0.037647057,0.084153004,0.056497175
JE,0.13670184,0.25242126,0.3318169,0.07781485,0.05373832,0.21236263,0.15410775,0.37848485,0.25677392,0.39029303,0.3166402,0.14428747,0.48982334
US,0.123769805,0.10787546,0.1750495,0.05212121,0.05862584,0.03930172,0.029190993,0.0403603,0.032448377,0.063399024,0.036863968,0.142674,0.17345034
VE,0.042283297,0.04761905,0.006060606,0.0042283298,0.030778164,0.06451613,0.20770772,0.4789005,0.30769232,0.38975817,0.44444445,0.31754032,0.11527094
AS,0.32471266,0.42459765,0.47583333,0.2464286,0.22494331,0.15238096,0.11904762,0.031746034,0.028571429,0.14583333,0.15196076,0.13944444,0.13194445
AU,0.07375145,0.048625793,0.10915819,0.1888298,0.552657,0.52304965,0.55781686,0.3266385,0.20404041,0.22251773,0.13043478,0.13506013,0.35428572
CA,0.3974284,0.0996633,0.30982816,0.41633984,0.55918366,0.24478115,0.3057239,0.33490196,0.42609352,0.17575757,0.39007092,0.5394737,0.36477986
FJ,0.08768473,0.101168975,0.3217469,0.08333333,0.16129032,0.05632184,0.19489248,0.21505377,0.3806818,0.2,0.13,0.14769231,0.1965812
PF,0.111111104,0.25246215,0.21164773,0.26685822,0.5248447,0.32842714,0.34255603,0.31582126,0.36944446,0.46973684,0.5736842,0.60952383,0.52894735
HK,0.18135937,0.112280704,0.18453947,0.09110807,0.062106702,0.00587334,0.08670169,0.07673901,0.21667382,0.12100487,0.038001794,0.07453416,0.10538218
IN,0.14336158,0.20865336,0.006284153,0.2569153,0.18306011,0.20504808,0.2701923,0.045002922,0.12937853,0.17175141,0.034032635,0.20200951,0.11278196
ID,0.22351234,0.15673469,0.28455284,0.24947146,0.18205129,0.6044872,0.5383513,0.19753087,0.3731884,0.5543478,0.3982684,0.36923078,0.36945814
JP,0.0,0.009937888,0.016563147,0.015694166,0.099744245,0.026107226,0.13846155,0.25689733,0.28445998,0.12921524,0.15891133,0.19504671,0.23805203
MY,0.025308026,0.004667269,0.060185187,3.2456993E-4,0.019822283,0.015347103,0.13146695,0.07779561,0.03811307,0.1622435,5.877167E-4,0.0,0.0011075949
MH,0.3809524,0.22380953,0.17111109,0.5190477,0.27705625,0.25,0.20272905,0.24385965,0.48039216,0.5118056,0.34007353,0.44771242,0.45751634
NC,0.10689655,0.10872162,0.11966387,0.13963161,0.21471775,0.20824373,0.2562724,0.30896056,0.16532259,0.35685483,0.33669356,0.18709677,0.2977208
NZ,0.010384068,0.01930266,0.0,0.18991597,0.10252101,0.13541667,0.07460318,0.05805806,0.057142857,0.05210084,0.035285287,0.10695187,0.16098484
PG,0.0,0.13793103,0.26139602,0.2718254,0.104761906,0.123809524,0.080882356,0.026143791,0.0,0.07017544,0.0116959065,0.094736844,0.10526316
WS,0.23128021,0.19323668,0.0225,0.3474026,0.38571426,0.18333334,0.1985294,0.07720588,0.14705883,0.18443222,0.034313723,0.2849817,0.24126984
SA,0.08888889,0.0433633,0.116948284,0.06533575,0.03331385,0.016848816,0.035930738,0.030048916,0.060232222,0.034833092,0.06666667,0.007792208,0.10111046
SG,0.09817927,0.09741042,0.038201585,0.07889237,0.13953489,0.24794008,0.38945827,0.1584565,0.13451044,0.13684879,0.21523094,0.01724138,0.21990232
SB,0.5225641,0.25952384,0.4137022,0.30237153,0.49264705,0.19736843,0.17619048,0.0952381,0.3201581,0.5050505,0.5652174,0.5372859,0.5613276
