,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,97.6411,97.811356,97.988495,97.98944,97.97526,98.075516,98.131004,98.135155,98.143234,98.17796,98.18164,98.192245,98.21213
IT,98.062294,98.17601,98.28337,98.30011,98.25704,98.31287,98.358345,98.36657,98.38698,98.43031,98.433716,98.458565,98.4512
MT,97.69486,97.864914,98.03568,98.04585,98.0266,98.11808,98.16778,98.17816,98.1903,98.239624,98.24772,98.253296,98.27451
SI,97.65108,97.82279,97.99854,97.9996,97.98686,98.08588,98.14315,98.14864,98.157524,98.19483,98.195724,98.20736,98.22567
DZ,97.65872,97.822365,97.99514,97.99418,97.98029,98.07948,98.13455,98.13872,98.146774,98.1812,98.184814,98.19596,98.21709
BE,97.96597,98.10225,98.22807,98.21213,98.18957,98.24739,98.31147,98.31228,98.32017,98.33249,98.34047,98.34915,98.36108
HR,97.64677,97.81975,97.9969,97.99624,97.98512,98.08289,98.14097,98.14632,98.15347,98.18723,98.19162,98.20393,98.22394
DO,97.678406,97.844666,98.0188,98.02397,98.00807,98.09978,98.15944,98.16517,98.17407,98.20387,98.20841,98.2258,98.24797
EG,97.8802,98.024086,98.17111,98.171326,98.143524,98.21907,98.249275,98.25062,98.27168,98.29369,98.308205,98.30752,98.32808
FR,97.97535,98.12654,98.23461,98.22035,98.178185,98.23741,98.30612,98.32172,98.33193,98.34724,98.359795,98.366516,98.38274
DE,98.15401,98.21756,98.32416,98.303696,98.25955,98.336815,98.39041,98.388176,98.39811,98.42794,98.416275,98.422455,98.42146
GR,97.72676,97.86333,98.02352,98.02461,98.01474,98.1098,98.167854,98.176315,98.19072,98.23102,98.231865,98.26389,98.289314
GT,97.68405,97.8496,98.013054,98.015465,97.993904,98.087036,98.13948,98.14472,98.15378,98.18653,98.19117,98.20479,98.22615
LB,97.67255,97.84658,98.01145,98.02097,98.00381,98.10667,98.15916,98.16399,98.173065,98.20698,98.212746,98.224495,98.24647
LY,97.654,97.82993,97.99638,97.99435,97.98007,98.07948,98.13408,98.138885,98.148186,98.18096,98.183395,98.1942,98.21501
ES,98.14398,98.21296,98.29319,98.29365,98.28173,98.33322,98.38622,98.38099,98.40207,98.42947,98.44643,98.45912,98.46242
MX,97.81508,97.943146,98.098015,98.10056,98.08621,98.18034,98.226295,98.23762,98.2582,98.28938,98.28828,98.306015,98.32732
MA,97.64864,97.82324,98.03084,98.048355,98.05774,98.14578,98.190636,98.21313,98.2268,98.24734,98.2594,98.287605,98.30207
PT,97.683754,97.851524,98.03347,98.03289,98.01873,98.11424,98.16905,98.17572,98.18594,98.222435,98.23047,98.24591,98.26671
TN,97.64668,97.81552,97.990555,97.99107,97.9771,98.077675,98.132416,98.1366,98.14453,98.17889,98.182236,98.193054,98.21327
TR,97.787735,97.93558,98.10684,98.10432,98.08826,98.183586,98.244576,98.25756,98.291534,98.33389,98.33368,98.3648,98.40692
JE,98.07517,98.15546,98.23781,98.2323,98.20183,98.26847,98.322845,98.325226,98.3364,98.364845,98.36985,98.38486,98.38034
US,98.95556,98.80137,98.78576,98.77952,98.71706,98.705765,98.74694,98.74075,98.77084,98.756386,98.75043,98.75897,98.749695
VE,97.739456,97.88273,98.04281,98.03118,98.00714,98.09232,98.150116,98.152954,98.15941,98.18684,98.18789,98.19503,98.216125
AS,97.64434,97.81413,97.98958,97.989784,97.97525,98.07572,98.13122,98.13531,98.143295,98.177826,98.18143,98.192276,98.21252
AU,97.85245,98.00973,98.158615,98.139565,98.10681,98.174995,98.235504,98.24177,98.253044,98.27507,98.2836,98.29846,98.314
CA,97.771065,97.911575,98.09227,98.0769,98.04653,98.13583,98.18906,98.19349,98.20331,98.23447,98.242355,98.252464,98.271614
FJ,97.6488,97.818504,97.995995,97.99604,97.981766,98.083046,98.13529,98.13946,98.14722,98.17984,98.183334,98.19449,98.2143
PF,97.64907,97.81739,97.99265,97.99205,97.97734,98.07746,98.132835,98.137024,98.14423,98.17875,98.18291,98.19413,98.21415
HK,98.41977,98.42664,98.49425,98.46561,98.43849,98.48261,98.50629,98.50198,98.47821,98.45889,98.44101,98.45204,98.45309
IN,97.79281,97.94916,98.11584,98.129875,98.107704,98.197945,98.24996,98.25922,98.27288,98.333244,98.36677,98.38714,98.41348
ID,97.72873,97.8804,98.0447,98.043335,98.03145,98.1277,98.17215,98.1752,98.18287,98.216515,98.22328,98.24668,98.27384
JP,98.62123,98.59078,98.635445,98.61568,98.591156,98.512215,98.5343,98.50325,98.507675,98.5144,98.50719,98.49354,98.498276
MY,98.07653,98.22297,98.33492,98.347,98.3249,98.39352,98.45132,98.45981,98.471535,98.46897,98.48425,98.46901,98.47737
MH,97.64214,97.81206,97.98844,97.988914,97.97479,98.075325,98.13102,98.13523,98.14302,98.17759,98.181114,98.192024,98.21221
NC,97.64871,97.81775,97.99303,97.994095,97.98008,98.08057,98.13507,98.13867,98.14665,98.17994,98.18352,98.195,98.21469
NZ,97.75631,97.91733,98.066795,98.06073,98.0428,98.13078,98.18584,98.191124,98.20694,98.238655,98.242645,98.26185,98.270905
PG,97.6526,97.82078,97.99488,97.99657,97.98206,98.08238,98.137054,98.140594,98.150345,98.18339,98.186516,98.19832,98.21847
WS,97.64429,97.81401,97.989655,97.98979,97.97526,98.07574,98.13126,98.13537,98.14346,98.17788,98.18146,98.1921,98.2124
SA,97.83762,97.995,98.140366,98.16068,98.16469,98.21719,98.262146,98.279396,98.29936,98.32465,98.331566,98.35654,98.37967
SG,98.12632,98.236465,98.356514,98.36404,98.35382,98.40326,98.456726,98.46819,98.476364,98.48739,98.488205,98.53803,98.55864
SB,97.6429,97.812584,97.98947,97.99073,97.97671,98.077644,98.13305,98.1368,98.14473,98.17889,98.18218,98.192986,98.21339
KR,98.190254,98.26491,98.36991,98.39003,98.355194,98.44107,98.499084,98.50701,98.519295,98.53381,98.5466,98.53677,98.547
TW,98.141106,98.196,98.29171,98.3012,98.26378,98.309105,98.35818,98.34737,98.35281,98.38336,98.38406,98.39669,98.41489
TH,97.76404,97.91772,98.07289,98.063034,98.04972,98.13586,98.186485,98.19392,98.20282,98.23762,98.243866,98.25355,98.27286
TO,97.642715,97.81228,97.98867,97.98924,97.97513,98.07552,98.13097,98.13522,98.14344,98.177795,98.18144,98.192314,98.21251
VU,97.64406,97.81357,97.990105,97.99,97.975136,98.076096,98.13164,98.13605,98.14427,98.178535,98.1821,98.19273,98.21303
WF,97.641174,97.81122,97.987885,97.98865,97.97456,98.07521,98.13076,98.13492,98.14285,98.177414,98.18087,98.191505,98.21175
AO,97.65766,97.824974,97.99935,98.003105,97.98742,98.087036,98.14451,98.156075,98.16289,98.19391,98.19745,98.205025,98.22036
AR,97.74438,97.87584,98.045586,98.04652,98.032,98.12286,98.179245,98.18681,98.19358,98.2201,98.21698,98.231285,98.25121
BJ,97.658966,97.82212,97.995995,97.99751,97.98243,98.08368,98.14144,98.144394,98.15551,98.1891,98.19449,98.20513,98.22599
BR,98.221115,98.19123,98.33814,98.32756,98.323715,98.37573,98.41915,98.43752,98.44176,98.43431,98.41121,98.44439,98.45787
CM,97.66035,97.82553,98.00029,97.99917,97.98387,98.084236,98.13826,98.14298,98.15028,98.18102,98.187645,98.19889,98.22187
CV,97.64246,97.81245,97.989685,97.99068,97.9762,98.07661,98.13215,98.13558,98.14367,98.177864,98.18153,98.19224,98.21282
CN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CD,97.64268,97.812126,97.988785,97.98946,97.975845,98.07626,98.131805,98.13609,98.14406,98.17787,98.18126,98.1919,98.21219
CG,97.65338,97.821465,97.999466,97.99781,97.98047,98.082214,98.13859,98.1452,98.15528,98.189095,98.19201,98.203896,98.22191
CI,97.67581,97.83643,98.01261,98.01281,98.00106,98.093216,98.14577,98.151924,98.16317,98.19607,98.19909,98.2091,98.22697
GQ,97.64304,97.81289,97.98927,97.99022,97.97596,98.07664,98.13217,98.1359,98.145004,98.17965,98.18284,98.19504,98.21503
GA,97.65233,97.81953,97.99567,97.99468,97.97853,98.07856,98.134254,98.13824,98.14565,98.18006,98.184654,98.195724,98.21549
