,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,4.6746072E-4,0.0014252244,0.0031995482,0.0047223014,0.00343243,0.0025192793,0.002275963,0.0020054136,0.0023356683,0.0033663178,0.0042659678,0.0035865002,0.001816859
IT,9.690069,9.214863,7.9778857,9.1762085,8.298973,7.3963366,6.8661246,6.537891,6.5836906,7.176123,6.723495,7.0202675,5.962479
MT,1.4969708,1.6452286,1.5551412,1.8635399,1.694599,1.5474058,1.3630357,1.5993509,1.6170231,2.48903,2.559642,2.2512772,2.0661986
SI,0.26595122,0.31770876,0.31884113,0.29508126,0.28128844,0.28253618,0.3429557,0.4023754,0.43867868,0.68599427,0.47279376,0.4950973,0.5013752
DZ,0.07743833,0.049728528,0.03699288,0.034388307,0.039583355,0.031879578,0.024126848,0.023703795,0.022714322,0.022686264,0.025711294,0.025400557,0.026736706
BE,8.875087,9.148693,7.7505403,7.100047,6.738886,6.0088806,6.297289,6.0190244,5.942251,5.067921,4.9529824,4.5669484,3.9465935
HR,0.18934193,0.29454982,0.3030735,0.19263627,0.26470885,0.2147355,0.32756728,0.3864973,0.35649458,0.41807356,0.39469227,0.43284777,0.4895199
DO,0.4758314,0.41563597,0.40743777,0.5017903,0.5330657,0.33355954,0.3935435,0.40165317,0.40733254,0.32746267,0.34545627,0.48497793,0.49824858
EG,7.77452,6.7121644,6.2929406,6.215345,6.2036867,5.5089216,4.513182,3.9624321,4.3518014,3.9865954,4.309607,3.502283,3.4816384
FR,8.581458,9.085823,7.5377645,7.3243055,6.541396,6.1328793,6.689356,6.798693,6.5678396,5.5558324,5.6038194,5.1000094,4.913609
DE,15.223678,13.425466,11.893113,10.524733,9.621041,10.684127,9.940208,9.381367,9.44982,9.781776,8.593803,7.8850565,7.0176873
GR,2.0748553,1.3979106,0.9544174,1.1857437,1.196237,0.85052395,1.141001,1.1719819,1.4422888,2.0979242,2.027915,2.5310435,2.6104128
GT,1.1184374,1.0127298,0.59570587,0.6154311,0.4127352,0.21688606,0.073723316,0.13910681,0.18581316,0.15712538,0.1578788,0.19070645,0.27898175
LB,0.963981,1.468332,0.94771856,1.217065,1.0532134,1.2072808,1.1206738,1.0854834,1.1083789,1.2722243,1.21804,1.1930844,1.1748099
LY,0.0758668,0.37703574,0.10749923,0.022894416,0.020979024,0.009728811,0.008307555,0.013611677,0.022417927,0.016780647,0.010050471,0.011329826,0.015839554
ES,11.48845,9.982719,7.8148494,8.016702,9.099886,7.9946055,8.311076,7.364763,7.317539,7.28283,7.6882124,7.0847716,5.861083
MX,5.078086,3.90361,3.4484324,3.3081882,3.7792134,3.830185,3.1543844,3.5555978,3.748101,3.7159843,3.3756151,3.524887,3.8302822
MA,0.050452694,0.22931086,1.4135563,1.8000548,2.371824,2.1160727,1.6598272,2.14691,2.1868856,1.6178753,1.5473021,2.1716156,1.8624921
PT,0.3906925,0.38621894,0.9304433,0.9069262,0.72648805,0.98731554,0.859962,0.733834,0.7772082,0.8690773,0.88469607,0.861863,0.80821687
TN,0.027992385,0.023101749,0.015058771,0.016036555,0.01905408,0.020359196,0.008252862,0.008411236,0.0074777617,0.006008708,0.005823067,0.006500175,0.0062484983
TR,2.2068412,2.5854023,3.170831,2.2904158,2.1556754,2.0261877,2.2748654,1.948988,2.401057,3.0006266,2.935814,3.3984668,3.825636
JE,13.053739,10.701274,7.9836497,7.7932143,7.4781175,7.28356,7.220096,6.819709,6.8892446,7.0233245,6.7598724,6.28923,5.019802
US,49.96489,37.909336,30.751734,29.4303,28.105871,23.877588,22.760698,21.644445,22.866928,21.83898,21.333942,20.795717,19.990088
VE,1.1586217,0.74145496,0.5180484,0.46301934,0.40847358,0.24293707,0.23966672,0.22859824,0.20433345,0.08690458,0.032063916,0.017896716,0.019122887
AS,0.038405664,0.035655256,0.020675812,0.0111200325,0.007223244,0.0057129744,0.0056771305,0.0043984232,0.0040041283,0.0036539172,0.0057399487,0.008273247,0.010629108
AU,5.1081276,4.5504665,4.0703425,3.8368053,3.4921374,2.7728925,2.9370818,2.8984175,2.999477,2.6853452,2.635256,2.5874426,2.624836
CA,5.0244293,4.1234026,4.2635446,3.6246183,3.1085455,2.6666572,2.5615401,2.6237948,2.7242827,2.4354696,2.8313494,2.7619517,2.7049396
FJ,0.084477775,0.08329873,0.087234974,0.063869625,0.070316695,0.09696697,0.057402432,0.07206101,0.079611525,0.01484335,0.018642861,0.034978695,0.04025248
PF,0.14311264,0.09570126,0.06525064,0.043389264,0.034705896,0.026008895,0.023873873,0.022847122,0.014782777,0.014046753,0.02146418,0.024800304,0.026296861
HK,32.17243,27.703432,24.509266,22.735056,22.717367,21.226295,19.837023,19.214813,17.347984,14.47605,13.615512,14.042379,13.377521
IN,4.013905,3.5245466,3.5876255,3.5488386,3.3983827,3.4542458,3.5254824,3.3784268,3.4826598,4.2589855,5.294478,5.391334,5.9234905
ID,1.7908664,1.5203015,1.3855066,1.5521625,1.8246944,1.6862733,1.3553371,1.3489686,1.4576943,1.5621334,1.8235527,2.4611092,2.8072062
JP,41.951656,34.01091,27.39661,26.045282,26.671597,18.590769,17.146603,15.183665,14.930226,13.345806,12.918556,11.686247,11.330287
MY,14.897884,16.164164,14.816873,15.414912,15.423416,14.933602,15.89554,15.905486,16.23914,15.0201,15.417128,13.788795,13.921533
MH,0.011668098,0.008491055,0.006473667,0.0036153102,0.0036871592,0.0016583257,0.0013421243,0.0021870607,0.0012048412,0.0012131011,0.003266537,0.01240587,0.014093023
NC,0.10749127,0.102893226,0.059333798,0.05287281,0.063091725,0.07307762,0.079149194,0.07671572,0.08761898,0.029847363,0.029332336,0.037592646,0.03487917
NZ,1.664967,1.5474405,0.94144595,0.915267,0.8859201,0.72992533,0.8246359,0.8686041,1.0052032,0.9664855,1.1160744,1.3949599,1.2327248
PG,0.110047586,0.08384478,0.053905845,0.076983094,0.08610635,0.098152354,0.12661594,0.12234712,0.1467324,0.112111926,0.11991135,0.15003955,0.13694619
WS,0.038884465,0.036064763,0.02237564,0.011122001,0.007225005,0.005714213,0.005689347,0.004411291,0.004171053,0.0034954364,0.005759135,0.0035153164,0.0067937826
SA,6.203529,6.351633,5.6960373,7.0386024,7.7739615,5.8670716,5.33089,5.476006,5.8836884,6.0085034,5.814088,6.5056124,6.6813655
SG,15.818278,16.343304,15.521165,16.331486,16.878859,15.594907,15.951998,16.309652,16.175991,15.2581625,15.099413,17.23868,17.723284
SB,0.015112806,0.0100921905,0.012056785,0.023560204,0.03371936,0.04237528,0.04401622,0.03786542,0.039488032,0.033591017,0.031543292,0.037767198,0.037307337
KR,23.900337,21.041365,18.768763,20.001259,19.224636,18.910015,19.844217,20.199118,20.481226,19.833097,20.019041,19.590485,19.076452
TW,19.625471,15.671459,13.004044,13.607134,13.1842165,10.84312,10.7230015,9.976324,9.771966,10.216058,10.29597,10.033251,9.927366
TH,4.0573354,3.76436,2.9074605,2.4213877,2.6260095,2.0920787,1.9497836,2.049696,2.1341407,2.3261163,2.4662719,2.1530695,2.0877633
TO,0.011582303,0.007785305,0.005387529,0.002703965,0.0039806413,0.0017628655,0.0013509163,0.0029698575,0.0037669067,0.0019362995,0.0054518543,0.007962246,0.009875834
VU,0.024323365,0.018456345,0.017371723,0.0091616055,0.0016652648,0.0041640066,0.0055045276,0.014938398,0.019465376,0.016166702,0.016799066,0.016073192,0.020904796
WF,8.369672E-5,4.020522E-5,2.5016761E-5,9.656336E-6,2.190935E-5,2.1057358E-5,2.7650383E-5,4.7345897E-5,3.4873363E-5,2.3805667E-5,2.5163408E-5,6.8229315E-7,9.413339E-7
