,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,9.591806E-7,4.1961272E-7,6.019579E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910663E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
IT,9.591806E-7,4.1961272E-7,6.019588E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910663E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
MT,9.591806E-7,4.1961272E-7,6.019578E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910663E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
SI,9.591806E-7,4.1961272E-7,6.019588E-7,5.8345535E-7,1.3204195E-7,2.639681E-7,2.6822397E-7,2.5910663E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
DZ,9.591806E-7,4.1961272E-7,6.019584E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910663E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
BE,9.591806E-7,4.1961272E-7,6.019591E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.591067E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
HR,9.591806E-7,4.1961272E-7,6.019588E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.591066E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
DO,9.591806E-7,4.1961272E-7,6.0195816E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.591066E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.901861E-7
EG,9.591806E-7,4.1961272E-7,6.0195856E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910663E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
FR,9.591806E-7,4.1961272E-7,6.01959E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.591067E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
DE,9.591806E-7,4.1961272E-7,6.019589E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910666E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
GR,9.591806E-7,4.1961272E-7,6.019592E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910663E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
GT,9.591806E-7,4.1961272E-7,6.019576E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.591066E-7,2.5831312E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
LB,9.591806E-7,4.1961272E-7,6.01958E-7,5.8345535E-7,1.3204195E-7,2.639681E-7,2.6822397E-7,2.591066E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
LY,9.591806E-7,4.1961272E-7,6.0195856E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910663E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
ES,9.591806E-7,4.1961272E-7,6.019591E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910663E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
MX,9.591806E-7,4.1961272E-7,6.019583E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.591066E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.901861E-7
MA,9.591806E-7,4.1961272E-7,6.019588E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910663E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
PT,9.591806E-7,4.1961272E-7,6.0195856E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910663E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
TN,9.591806E-7,4.1961272E-7,6.0195873E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910663E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
TR,9.591806E-7,4.1961272E-7,6.019576E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910663E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
JE,9.591806E-7,4.1961272E-7,6.0195913E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910666E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
US,9.591806E-7,4.1961272E-7,6.0195856E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910663E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
VE,9.591806E-7,4.1961272E-7,6.019576E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910668E-7,2.5831312E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.901861E-7
AS,9.591806E-7,4.1961272E-7,6.01959E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910663E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
AU,9.591806E-7,4.1961272E-7,6.01958E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910666E-7,2.5831312E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
CA,9.591806E-7,4.1961272E-7,6.0195777E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910663E-7,2.5831312E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
FJ,9.591806E-7,4.1961272E-7,6.019589E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910663E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
PF,9.591806E-7,4.1961272E-7,6.019589E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910663E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
HK,9.591806E-7,4.1961272E-7,6.019587E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910663E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
IN,9.591806E-7,4.1961272E-7,6.0195816E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910663E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
ID,9.591806E-7,4.1961272E-7,6.019581E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.591066E-7,2.5831312E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
JP,9.591806E-7,4.1961272E-7,6.01958E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910663E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
MY,9.591806E-7,4.1961272E-7,6.0195816E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910663E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.901861E-7
MH,9.591806E-7,4.1961272E-7,6.019583E-7,5.8345535E-7,1.3204195E-7,2.6396813E-7,2.6822397E-7,2.5910663E-7,2.5831315E-7,2.2692669E-7,2.0736735E-7,2.0409351E-7,1.9018613E-7
