,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,3.5372214,1.1115133,2.8400972,1.4611706,0.5757116,2.5635045,2.4647577,2.3969698,1.9131835,2.6435897,3.3990302,0.81261426,1.6199919
IT,3.7983956,2.0762012,4.542003,3.1156669,0.9410078,1.8345615,2.5738761,1.7937199,1.8427095,2.897438,2.257839,2.2362826,2.0489326
MT,2.9673629,1.0330988,2.3834932,2.068033,0.3694134,1.0348176,1.1836928,0.89564574,0.85041875,0.94786495,0.9385067,0.85120445,0.7462535
SI,5.2224307,1.9716041,4.889022,1.6333842,0.33860725,0.97525704,1.521043,1.244164,1.4236357,1.0691323,1.0065694,3.6298735,1.493225
DZ,4.0304666,1.5784209,3.8154843,1.8240589,0.8668188,2.0107253,0.82979745,1.1675805,1.763128,2.186058,2.1573002,3.3686624,1.1674286
BE,5.8885684,3.082453,6.840723,4.4357066,2.9440622,4.48833,6.0305195,4.6597724,4.456862,6.4366865,6.063329,5.7800846,4.6756096
HR,4.360248,1.991519,4.963455,1.0965297,0.45273525,0.7953422,1.7212789,2.13638,1.6100471,1.8169405,1.7220347,1.8195918,1.9496846
DO,2.6564662,1.7156773,3.258128,3.3662317,0.5451944,1.0226618,1.5430768,1.679776,1.3593659,2.1144485,2.2981448,2.9774234,0.88695294
EG,4.57297,1.8423293,3.923494,2.207234,0.5847821,2.2356803,1.8577149,1.4430968,2.2212799,3.1181886,3.628141,3.5606227,1.9958706
FR,5.410755,2.5476308,5.876977,3.0348012,2.908466,4.312866,5.3329206,4.4694467,4.2767773,5.6384463,5.950348,5.0786114,4.26453
DE,5.1403055,2.359691,4.5500603,4.0996885,1.0647496,2.5720391,3.5909476,2.5758553,2.4286587,4.7693944,4.670724,4.253574,3.1598618
GR,4.1585407,2.2878156,6.1083803,2.9353423,0.826569,2.6442904,1.1137761,1.5569899,1.0801221,1.1282605,0.960538,0.534957,1.1688497
GT,2.6428425,1.0311078,2.0013978,1.960573,0.83032596,0.96771735,1.1522877,0.69020826,0.7246483,2.1528862,2.2893488,3.1524866,1.2296671
LB,4.8401923,1.6406142,3.2430315,1.4416656,0.30698118,1.2360208,1.661207,1.6233895,0.88175845,2.1708512,2.1586764,3.3758423,0.88843846
LY,3.793713,1.6027385,4.0498295,2.0183718,0.36732256,1.2863588,2.7482336,2.893417,2.1513774,5.417986,5.3586445,4.695839,3.2838619
ES,5.4239507,2.596031,5.287113,2.2878654,0.7256126,2.1322093,2.0649178,1.8041245,2.1925654,4.3916707,3.7145464,3.8375425,2.6872847
MX,2.7903957,1.209039,3.4252574,3.1982918,0.78371805,1.8708352,1.6531729,1.8134907,1.5723222,2.2917988,2.6023095,4.0897565,2.9319391
MA,3.9015481,2.108991,4.436657,2.9721231,0.6674319,3.3010948,4.503541,2.7062738,2.4681258,2.62092,1.7744505,1.1500088,1.7093076
PT,3.0063512,1.4548413,3.8391266,2.925875,0.86094147,1.491274,2.047924,1.4490601,1.512947,1.9883742,2.4210107,1.3910707,1.2980438
TN,3.749361,1.9582748,4.129444,3.6361127,1.01606,3.2074761,2.7195053,1.5446371,2.218738,2.3059971,3.8158333,1.0236526,1.6510416
TR,2.454788,1.0746955,1.9975047,1.0458968,0.44565284,2.1554363,1.0726198,2.1040967,1.5161948,1.8425177,1.790598,2.6873925,1.4327215
JE,5.37946,3.1236558,7.1483507,3.9455914,0.913413,3.0615523,2.6695225,2.70368,2.5022879,4.9324064,4.675137,4.1945233,3.7243729
US,4.0111184,3.592574,3.8470528,2.1107593,0.69418687,1.8892698,1.7954838,1.7655851,1.6552497,1.8062735,1.6455276,2.244774,1.3192195
VE,2.0842164,0.67324287,2.230464,1.6252428,0.64230436,2.126983,2.2714355,3.2299945,2.8417065,3.734157,3.691574,3.6163104,2.9502928
AS,5.6206484,2.7109327,5.1502333,3.7132957,0.98972315,2.0580366,2.2395015,1.6121237,2.269008,1.8123142,1.8184671,0.9179456,0.9287409
AU,3.7076042,2.4457622,3.4439344,5.6277814,1.4283711,4.4413977,5.6207204,2.1435096,2.5563107,2.6615734,2.855993,1.5967387,1.7602149
CA,4.245218,1.2728394,2.6627846,5.1878247,1.0829017,3.5163987,4.759687,2.2096097,2.3532372,2.974461,1.5023781,2.428362,1.0379074
