,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,3.5372217,1.1115133,2.8400972,1.4611707,0.5757116,2.5635047,2.4647577,2.3969698,1.9131837,2.6435902,3.3990297,0.81261426,1.6199919
IT,3.7983956,2.0762012,4.5420036,3.1156673,0.9410079,1.8345613,2.5738764,1.79372,1.8427094,2.8974383,2.2578392,2.2362826,2.0489328
MT,2.9673624,1.0330988,2.383493,2.0680332,0.36941335,1.0348176,1.1836928,0.89564574,0.85041875,0.947865,0.9385067,0.8512045,0.7462536
SI,5.2224307,1.9716043,4.8890214,1.6333842,0.33860725,0.97525704,1.521043,1.244164,1.4236357,1.0691323,1.0065694,3.6298733,1.493225
DZ,4.0304666,1.5784208,3.8154845,1.824059,0.8668188,2.0107253,0.82979745,1.1675805,1.7631278,2.186058,2.1573002,3.3686624,1.1674287
BE,5.888568,3.0824528,6.840723,4.4357066,2.9440622,4.48833,6.030519,4.6597724,4.4568615,6.436687,6.0633287,5.780085,4.675609
HR,4.360248,1.9915192,4.9634542,1.0965298,0.45273516,0.7953421,1.7212791,2.1363802,1.6100472,1.8169405,1.7220347,1.8195918,1.9496846
DO,2.6564662,1.7156773,3.2581284,3.3662317,0.5451944,1.0226618,1.5430766,1.679776,1.3593659,2.114448,2.2981448,2.9774237,0.8869529
EG,4.5729694,1.842329,3.9234943,2.207234,0.5847821,2.2356803,1.8577149,1.4430968,2.2212799,3.1181886,3.6281412,3.560623,1.9958704
FR,5.410755,2.5476308,5.876977,3.0348008,2.908466,4.312866,5.33292,4.469446,4.2767773,5.6384463,5.9503474,5.078611,4.26453
DE,5.140305,2.359691,4.5500607,4.099688,1.0647496,2.5720391,3.5909479,2.5758553,2.4286587,4.7693944,4.6707234,4.2535744,3.1598618
GR,4.15854,2.2878156,6.10838,2.9353423,0.8265692,2.6442907,1.1137762,1.5569899,1.0801221,1.1282606,0.960538,0.534957,1.1688497
GT,2.6428425,1.0311079,2.0013978,1.960573,0.83032596,0.9677174,1.1522877,0.69020826,0.7246483,2.152886,2.289349,3.1524868,1.2296671
LB,4.8401923,1.640614,3.2430315,1.4416656,0.3069812,1.2360208,1.6612071,1.6233895,0.8817585,2.1708512,2.1586764,3.3758423,0.8884384
LY,3.793713,1.6027385,4.0498295,2.018372,0.36732256,1.2863586,2.7482333,2.8934166,2.1513774,5.4179864,5.358645,4.6958394,3.2838616
ES,5.4239507,2.5960307,5.287113,2.2878652,0.72561264,2.1322095,2.0649176,1.8041245,2.1925654,4.3916707,3.714547,3.8375423,2.6872845
MX,2.790396,1.2090389,3.4252574,3.1982918,0.7837181,1.870835,1.6531729,1.8134906,1.5723222,2.2917988,2.6023092,4.089756,2.9319391
MA,3.9015484,2.1089911,4.436657,2.9721231,0.66743195,3.301095,4.503541,2.7062738,2.4681253,2.6209197,1.7744504,1.1500088,1.7093074
PT,3.0063512,1.4548411,3.839127,2.925875,0.86094135,1.491274,2.047924,1.4490602,1.5129471,1.9883742,2.4210107,1.3910707,1.2980438
TN,3.749361,1.9582746,4.129444,3.6361127,1.0160599,3.207476,2.7195055,1.5446372,2.218738,2.3059967,3.815833,1.0236524,1.6510416
TR,2.4547882,1.0746955,1.9975046,1.0458966,0.44565284,2.1554365,1.0726198,2.1040967,1.5161948,1.8425177,1.790598,2.6873927,1.4327213
JE,5.37946,3.1236558,7.1483502,3.9455914,0.9134129,3.0615523,2.6695225,2.7036803,2.5022879,4.9324064,4.675137,4.194524,3.7243733
US,4.011119,3.5925744,3.8470528,2.1107593,0.6941868,1.8892698,1.7954837,1.7655852,1.6552496,1.8062737,1.6455274,2.2447743,1.3192194
