,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,0.001393838,0.0040551913,0.013994744,0.017504703,0.016552705,0.008989421,0.008909093,0.010749357,0.012085209,0.015681159,0.020504449,0.017489158,0.00975192
IT,8.901509,8.616738,7.512167,8.125993,7.4952335,6.6282682,6.4110036,6.445061,6.766244,7.2090435,7.126887,7.5386047,6.7401543
MT,1.1899123,1.3269302,1.2698463,1.5274627,1.4125617,1.2369554,1.0937818,1.2831929,1.3819239,1.9266524,2.0509918,1.8764634,1.875876
SI,0.21933468,0.27866203,0.27755913,0.27923128,0.30846527,0.28639048,0.3429584,0.38772434,0.416114,0.5378947,0.43583634,0.4626425,0.42415038
DZ,0.29369247,0.20920826,0.14883819,0.116249494,0.124801345,0.097683236,0.088879324,0.09144201,0.09256152,0.09116322,0.09584258,0.10525699,0.12703787
BE,7.154583,7.2436185,6.357662,5.9316344,5.777456,4.925594,5.258684,5.1376967,5.1397867,4.5422344,4.626979,4.515618,4.224758
HR,0.13330163,0.21821232,0.24162486,0.19046196,0.26954037,0.20872281,0.2924687,0.33371496,0.3098052,0.31140316,0.3275052,0.37221,0.3820534
DO,0.70485777,0.69493145,0.6946665,0.8073021,0.7948305,0.59360874,0.7099254,0.7486705,0.771727,0.6596493,0.6883504,0.87134534,0.92491126
EG,5.535431,5.2950506,4.9246755,4.9228415,4.7302175,4.2167063,3.5255558,3.353235,3.739985,3.4480488,3.773664,3.3538117,3.3810098
FR,7.253619,7.678699,6.4499307,6.145528,5.511945,4.7456527,5.237489,5.517619,5.5397973,4.98125,5.2068944,5.0311565,4.934067
DE,11.534618,10.242715,9.128847,8.4718895,7.808088,7.8258805,7.740945,7.496016,7.5823584,7.6705675,7.0928893,6.8581376,6.24397
GR,1.8203322,1.2387493,0.8965636,0.96178,1.064683,0.9101401,1.0449044,1.1487938,1.353955,1.6483276,1.5782001,2.1668391,2.3193917
GT,0.92376494,0.9058654,0.61642516,0.6580764,0.47769332,0.2967096,0.2052302,0.24533908,0.27876395,0.23750405,0.26354727,0.33750546,0.38483274
LB,0.7148415,0.9579008,0.66463643,0.8976377,0.81623465,0.9237716,0.8548318,0.86458504,0.89680564,0.93489736,0.97629595,0.99889225,1.0426601
LY,0.22053431,0.41672462,0.1871116,0.11518402,0.11504451,0.0914305,0.07402501,0.09233485,0.12264135,0.084495604,0.060402084,0.06261079,0.07766999
ES,10.648037,9.465453,7.677528,7.7616434,8.18124,7.1855097,7.320418,6.9290905,7.242018,7.2003074,7.6082377,7.557295,6.963744
MX,3.910098,3.2390485,2.9121385,2.9365866,3.0799277,3.06081,2.7571242,3.0042264,3.3320568,3.29754,3.127274,3.3320413,3.4417562
MA,0.13244684,0.26824617,1.1476271,1.5650519,2.1882622,1.9459593,1.6489102,2.1586173,2.3009603,1.9052807,2.0860343,2.620255,2.4445367
PT,0.76861775,0.81120485,1.0894276,1.0654557,1.0460837,1.0385119,1.0168924,1.0458813,1.1105491,1.1951729,1.3041921,1.4118549,1.4209256
TN,0.09557778,0.08298955,0.056254096,0.051831756,0.056826204,0.05770498,0.03990708,0.042937275,0.04102781,0.036419343,0.03402669,0.036082566,0.03650653
TR,2.8165212,2.7876062,2.977609,2.7450995,2.7338808,2.7026517,2.923926,3.0514014,3.7326694,4.109797,4.027522,4.6019263,5.2346015
JE,9.809818,8.53362,6.599129,6.4749594,6.188846,5.6505494,5.7073483,5.593792,5.69951,5.680792,5.6720095,5.6822643,4.8921113
US,32.0576,26.238201,22.408062,22.154339,21.210546,18.663733,18.443226,18.001848,18.839832,17.769838,17.478329,17.401644,16.653706
VE,1.8394328,1.4573692,1.1906577,0.9427536,0.75385445,0.4138777,0.46603605,0.43799624,0.40254334,0.22747248,0.16235158,0.08154728,0.10130504
AS,0.05996825,0.060456228,0.038433984,0.0252732,0.01721599,0.014039541,0.014007321,0.014495639,0.01362935,0.012603291,0.016014593,0.019147817,0.019956024
AU,4.479086,4.5598893,4.1964126,3.779884,3.3991463,2.689251,2.8789835,2.9210744,3.0260994,2.733487,2.8418727,2.932888,2.8554294
CA,3.1863232,2.718696,2.980965,2.5482998,2.1403883,1.8761234,1.8337297,1.8591721,1.9296404,1.8138728,2.0051024,1.9824862,1.9534672
FJ,0.13963978,0.14829268,0.17629448,0.15680413,0.15893991,0.18534668,0.11112652,0.11720237,0.11360085,0.058814503,0.060435276,0.0731584,0.06559024
