,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,1.734104,1.7241379,2.3121388,3.468208,6.25,4.0,5.6179776,5.649718,4.494382,3.9325843,5.05618,3.9325843,6.179775
IT,14.450867,14.367816,14.450867,15.028901,14.772727,14.285714,14.044944,13.559322,14.606742,14.606742,15.16854,14.606742,14.606742
MT,13.872832,14.367816,14.450867,15.028901,14.772727,14.285714,14.044944,13.559322,14.606742,14.606742,15.16854,14.606742,14.606742
SI,12.716763,12.068966,11.560694,9.248555,9.090909,9.142858,11.235955,11.299436,11.797753,12.921349,11.797753,12.921349,9.550562
DZ,10.404624,9.195402,9.248555,8.092485,9.090909,9.714286,7.303371,7.3446326,8.988764,12.921349,11.797753,12.35955,9.550562
BE,14.450867,14.367816,14.450867,15.028901,14.772727,14.285714,14.044944,13.559322,14.606742,14.606742,15.16854,14.606742,14.606742
HR,9.82659,11.494253,11.560694,9.248555,9.659091,8.571428,11.235955,11.299436,12.35955,11.797753,11.235955,11.235955,9.550562
DO,14.450867,14.367816,14.450867,15.028901,14.772727,14.285714,13.483147,13.559322,14.606742,14.606742,14.606742,14.606742,14.044944
EG,14.450867,14.367816,14.450867,15.028901,14.772727,14.285714,14.044944,13.559322,14.606742,14.606742,15.16854,14.606742,14.606742
FR,14.450867,14.367816,14.450867,15.028901,14.772727,14.285714,14.044944,13.559322,14.606742,14.606742,15.16854,14.606742,14.606742
DE,14.450867,14.367816,14.450867,15.028901,14.772727,14.285714,14.044944,13.559322,14.606742,14.606742,15.16854,14.606742,14.606742
GR,14.450867,13.793103,14.450867,14.450867,14.772727,14.285714,14.044944,13.559322,14.606742,14.606742,15.16854,14.606742,14.606742
GT,14.450867,14.367816,14.450867,15.028901,14.772727,13.714286,11.235955,10.169492,10.674157,12.921349,12.921349,14.606742,13.483147
LB,14.450867,12.068966,12.138728,12.138728,11.931818,13.142858,12.35955,11.299436,12.35955,14.606742,15.16854,14.606742,13.483147
LY,9.82659,10.344828,11.560694,8.092485,7.9545455,7.428571,7.8651686,11.299436,10.11236,10.674157,10.674157,10.674157,9.550562
ES,14.450867,14.367816,14.450867,15.028901,14.772727,14.285714,14.044944,13.559322,14.606742,14.606742,15.16854,14.606742,14.606742
MX,14.450867,14.367816,14.450867,15.028901,14.772727,14.285714,14.044944,13.559322,14.606742,14.606742,15.16854,14.606742,14.044944
MA,9.82659,13.793103,14.450867,15.028901,14.772727,14.285714,14.044944,13.559322,14.606742,14.606742,15.16854,14.606742,14.606742
PT,13.294798,13.793103,14.450867,15.028901,14.772727,14.285714,14.044944,13.559322,14.044944,14.606742,15.16854,14.606742,14.606742
TN,9.82659,9.770115,9.248555,8.092485,9.090909,10.285714,7.8651686,5.649718,6.179775,6.179775,6.179775,5.05618,6.179775
TR,14.450867,13.793103,13.872832,14.450867,14.772727,14.285714,14.044944,13.559322,14.606742,14.606742,15.16854,14.606742,14.606742
JE,14.450867,14.367816,14.450867,15.028901,14.772727,14.285714,14.044944,13.559322,14.606742,14.606742,15.16854,14.606742,14.606742
US,14.450867,14.367816,14.450867,15.028901,14.772727,14.285714,14.044944,13.559322,14.606742,14.606742,15.16854,14.606742,14.606742
VE,14.450867,14.367816,14.450867,15.028901,14.772727,12.571428,11.797753,13.559322,12.921349,12.921349,10.674157,10.674157,9.550562
AS,12.716763,13.21839,11.560694,10.982658,6.818182,6.857143,7.303371,7.9096045,6.7415733,6.7415733,7.8651686,7.303371,7.8651686
AU,14.450867,14.367816,14.450867,15.028901,14.772727,14.285714,14.044944,13.559322,14.606742,14.606742,14.606742,14.606742,14.606742
CA,14.450867,14.367816,14.450867,15.028901,14.772727,14.285714,14.044944,13.559322,14.606742,14.606742,15.16854,14.606742,14.606742
FJ,12.138728,12.068966,12.138728,11.560694,10.795455,10.857142,10.11236,10.734464,10.674157,8.426967,8.426967,8.426967,8.426967
PF,12.716763,13.793103,13.872832,12.716763,9.090909,8.571428,8.426967,8.474576,8.988764,8.426967,8.426967,8.426967,8.426967
HK,14.450867,14.367816,14.450867,15.028901,14.772727,14.285714,14.044944,13.559322,14.606742,14.606742,15.16854,14.606742,14.606742
IN,14.450867,14.367816,14.450867,15.028901,14.772727,14.285714,14.044944,13.559322,14.606742,14.606742,15.16854,14.606742,14.606742
ID,14.450867,14.367816,14.450867,15.028901,14.772727,14.285714,11.235955,10.734464,10.674157,9.550562,9.550562,11.797753,12.921349
JP,14.450867,14.367816,14.450867,15.028901,14.772727,14.285714,14.044944,13.559322,14.606742,14.606742,15.16854,14.606742,14.606742
MY,14.450867,14.367816,14.450867,15.028901,14.772727,14.285714,14.044944,13.559322,14.606742,14.606742,15.16854,14.606742,14.606742
MH,7.5144506,7.4712644,7.5144506,7.5144506,6.25,6.857143,7.303371,7.9096045,6.7415733,5.6179776,6.7415733,6.7415733,6.7415733
NC,12.716763,12.643678,12.138728,12.716763,10.795455,10.857142,10.11236,10.734464,10.674157,9.550562,9.550562,10.11236,9.550562
NZ,14.450867,14.367816,14.450867,12.716763,11.931818,10.857142,10.674157,10.734464,10.674157,10.11236,11.797753,11.797753,11.797753
PG,12.716763,13.21839,12.138728,12.716763,7.3863635,7.428571,7.8651686,7.9096045,8.426967,8.426967,8.426967,8.426967,8.426967
WS,11.560694,11.494253,11.560694,10.982658,6.818182,6.857143,7.303371,7.9096045,6.7415733,6.7415733,7.8651686,7.303371,7.8651686
SA,14.450867,14.367816,14.450867,15.028901,14.772727,14.285714,14.044944,13.559322,14.606742,14.606742,15.16854,14.606742,14.606742
