,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,8.6881086E-4,8.749217E-4,0.0011482456,0.0010395416,0.0010302132,0.0010022761,0.0010176358,0.0013371359,0.0012256901,0.0011193211,0.0010375611,0.0010950764,9.84629E-4
IT,0.025056848,0.02541922,0.024295585,0.025255928,0.022915157,0.022460729,0.022104222,0.022241807,0.022729462,0.024018977,0.023989117,0.025120283,0.023204986
MT,0.0045049693,0.005049977,0.0052647223,0.0060316585,0.005705623,0.0056435284,0.005085587,0.005507425,0.0057019163,0.007362314,0.007802676,0.0071284855,0.007416332
SI,0.0017222923,0.001901769,0.0018496338,0.001808281,0.0019299948,0.0019342909,0.0021307007,0.0022485973,0.002319529,0.002733236,0.0025038316,0.0025079364,0.00235489
DZ,0.0016904835,0.0014765167,0.0014325178,0.0012971765,0.0012875452,0.0012502715,0.001272516,0.0011776768,0.0011945011,0.0012584998,0.0012826873,0.0013227587,0.001446288
BE,0.020842956,0.022197345,0.021924905,0.020302517,0.019582411,0.018531635,0.01918711,0.018243497,0.01780057,0.016953804,0.017368617,0.017054131,0.01673018
HR,0.0016011083,0.0018475597,0.0022024345,0.0018890861,0.0021164955,0.0019585637,0.0020854126,0.0019510064,0.0020135324,0.0021010083,0.002139949,0.0023779662,0.0023286822
DO,0.004403669,0.004630923,0.004663519,0.0047875023,0.004941793,0.0045902184,0.004921936,0.0050445,0.0051367967,0.004815709,0.005632843,0.006114879,0.006604739
EG,0.014351641,0.015125489,0.015464208,0.015286879,0.014450138,0.014274161,0.012363217,0.012014382,0.012826201,0.012186572,0.013296079,0.01215146,0.012529971
FR,0.02197606,0.024074621,0.022635527,0.020960256,0.019027727,0.01797664,0.019265173,0.019844053,0.019479964,0.018662136,0.019081084,0.018659363,0.018850775
DE,0.031247012,0.029680707,0.02929138,0.026782583,0.024593437,0.026124097,0.026581692,0.025495129,0.024856718,0.025696956,0.02428431,0.02381575,0.022459788
GR,0.005842591,0.004323363,0.0037867913,0.003946454,0.004443482,0.0042085648,0.004480943,0.005013924,0.005525328,0.0061005014,0.005857063,0.008131973,0.008739393
GT,0.0039327866,0.004125157,0.0035256448,0.0036780366,0.0031245076,0.0028888679,0.0025454124,0.002731865,0.0028132133,0.0026292885,0.0028574355,0.003082483,0.0031234296
LB,0.0026573956,0.0032866492,0.0028365513,0.0035382293,0.0033007746,0.0038705324,0.0036361073,0.0036622132,0.0037050503,0.0038309733,0.004108027,0.0041317446,0.004358826
LY,0.0016460372,0.001986294,0.0014786066,0.001280531,0.0012395018,0.0011201749,0.001071059,0.0013092741,0.0014667596,0.0013186284,0.0012337668,0.0012080792,0.0012724362
ES,0.029547162,0.028284097,0.025313087,0.025402822,0.025706777,0.025363948,0.02556846,0.0240654,0.024894455,0.025931584,0.02704634,0.026492232,0.026267815
MX,0.010414045,0.009776191,0.009671521,0.009956167,0.010220494,0.011040305,0.011121917,0.011652171,0.0123324655,0.012531025,0.0118898535,0.012085406,0.012448644
MA,0.0014342114,0.0018150134,0.0047632507,0.006632243,0.009042478,0.009285216,0.008068653,0.009797981,0.010122496,0.009253006,0.010362333,0.011797985,0.011371612
PT,0.0043969606,0.0047192667,0.0056529013,0.0055514714,0.005447775,0.0056446935,0.0056628142,0.0056773387,0.005654802,0.0063250912,0.00652725,0.006846185,0.007277494
TN,0.001297682,0.0012395515,0.0011548288,0.0011362348,0.0011283783,0.0011678305,0.0010936282,0.0011461404,0.0010874327,0.0010791491,0.0011054871,0.0010955962,0.0010843279
TR,0.00856651,0.008466434,0.009203759,0.009154084,0.009269644,0.010109009,0.010941791,0.011196968,0.01289391,0.013838334,0.013581074,0.015323214,0.017250942
JE,0.026902784,0.025218196,0.022270715,0.021763094,0.020555668,0.0200719,0.020160107,0.019368472,0.0193393,0.019941652,0.019968325,0.020159071,0.018439695
US,0.06067715,0.055349138,0.05320596,0.051859137,0.05000443,0.049561795,0.05006124,0.049645267,0.04980393,0.049296334,0.047852494,0.046793636,0.04553492
VE,0.0074008848,0.0072902367,0.0068674306,0.005235322,0.004017415,0.002935362,0.00407178,0.0041673034,0.0039085955,0.0032150878,0.0028845079,0.0023593034,0.0024938881
AS,0.001686015,0.0015934921,0.0016798435,0.001518186,0.0016209518,0.0016102958,0.0015895879,0.0016041507,0.0015197714,0.0016055971,0.0016595672,0.0016880704,0.0016725496
AU,0.011970275,0.012540772,0.013135628,0.012339566,0.0118281655,0.0105712535,0.010244205,0.010332664,0.011129948,0.010975704,0.011697109,0.010968691,0.011241854
CA,0.007843615,0.007484262,0.008671897,0.007430209,0.0064740623,0.0065300395,0.0064196517,0.006383232,0.0064724013,0.006523373,0.0067023104,0.006769111,0.0069039864
FJ,0.002623974,0.0027094271,0.0031751925,0.0035266245,0.00357617,0.00343154,0.003495241,0.0039119306,0.0037209354,0.0034008943,0.0034009272,0.003774464,0.0037137594
PF,0.0018666399,0.0018060119,0.0018194659,0.0016249237,0.0017122823,0.0016871075,0.0017962839,0.0019473901,0.0014182904,0.0014086231,0.0014681144,0.0014801493,0.0015549843
HK,0.043057643,0.040953506,0.040406086,0.03785539,0.037668392,0.038575403,0.03633349,0.03489457,0.03138213,0.028045734,0.025350366,0.025143305,0.024110163
IN,0.009008864,0.009747731,0.01095043,0.012062321,0.011223819,0.011851815,0.0115526775,0.011575606,0.011791907,0.014340374,0.01675452,0.017034471,0.017834757
ID,0.00544338,0.0054957327,0.0048345085,0.0047168597,0.0050193886,0.005436885,0.0041182134,0.003890378,0.004091631,0.0042007696,0.0046106377,0.0053685484,0.0059482655
JP,0.037991267,0.03669464,0.03696079,0.03582655,0.03744481,0.030507827,0.027968347,0.024925921,0.023800177,0.023217393,0.022050045,0.019829292,0.019347344
MY,0.025523575,0.028114088,0.028685635,0.028717492,0.028441077,0.030503904,0.031437233,0.031395853,0.031003252,0.02918698,0.02973596,0.027192658,0.02687151
MH,0.0012444772,0.0012314694,0.0012192107,0.0011084058,0.0011812353,0.0011199403,0.0018114023,0.0020066388,0.0017822315,0.001866073,0.0017402648,0.0019035289,0.0017368223
NC,0.002008672,0.0020999606,0.0023177862,0.002407922,0.002763393,0.0027579258,0.002397367,0.0023964674,0.002371219,0.0023224314,0.0022306978,0.0023381119,0.0020253295
NZ,0.0071750106,0.007892767,0.007444615,0.006770261,0.007168699,0.007230825,0.007424849,0.007251018,0.0072869537,0.0069473693,0.0067661563,0.0077240975,0.006982274
PG,0.0019449986,0.001990733,0.0019337583,0.0020576124,0.0021542732,0.0022021886,0.002173694,0.0021932102,0.0021122778,0.0019589856,0.0018362196,0.002045841,0.0020638886
WS,0.0016718677,0.0015608885,0.0017045841,0.0017833272,0.0018000025,0.0016824644,0.0017484444,0.0017720925,0.0017088312,0.0015932493,0.0017558273,0.0015482124,0.0016026414
SA,0.012821542,0.01406344,0.013665302,0.014595434,0.016130326,0.014471574,0.014477323,0.014540078,0.015223077,0.015017069,0.015126437,0.016571138,0.017676556
SG,0.02996532,0.030679082,0.031874385,0.031946525,0.032328393,0.03256447,0.033139598,0.0333815,0.03278529,0.032000326,0.031440735,0.03506638,0.03614485
SB,0.001310647,0.0012728028,0.001405893,0.0014509792,0.0017397503,0.0021437695,0.0021762224,0.0022458208,0.0018407983,0.0017799743,0.0016382367,0.0018149915,0.0018331263
KR,0.028866358,0.028448148,0.028766988,0.03013957,0.02951589,0.0334638,0.034093495,0.033234518,0.03299848,0.032947544,0.033806577,0.031629656,0.03152244
TW,0.026262539,0.024272785,0.0232158,0.02314742,0.022094551,0.020799408,0.02091567,0.019192936,0.018766271,0.019671476,0.018838456,0.019122437,0.019165711
TH,0.0070919446,0.007266191,0.0070943167,0.006282564,0.0063722576,0.00602055,0.0056845713,0.005918942,0.0059215035,0.006448383,0.006727288,0.006796449,0.006928282
TO,0.0014112027,0.0012385806,0.0014204283,0.0013968651,0.0021012344,0.0021692752,0.0019666718,0.0016792987,0.0017289466,0.0015355552,0.001767749,0.0018420771,0.001797004
VU,0.0017123618,0.0017291827,0.0020571847,0.0016941609,0.001727788,0.0020524503,0.0019457464,0.0020303568,0.002203555,0.0023730604,0.0023852694,0.0017350449,0.0017580079
WF,9.1212563E-4,8.824412E-4,0.0010664696,0.0011981617,0.0011251008,0.001081359,0.0012648988,0.001327356,0.0012466473,0.0012290002,0.001142795,0.0010861692,0.0011189296
AO,0.00301148,0.002765763,0.0026916978,0.0030410816,0.0027609435,0.002627565,0.0028714756,0.0036542981,0.003606909,0.0032939953,0.0031945105,0.002763427,0.0022137933
AR,0.0064992066,0.005631125,0.0059130797,0.005997201,0.005985597,0.005651973,0.005661785,0.006066668,0.0057955943,0.005216724,0.0047019655,0.004920087,0.0049691624
BJ,0.002623057,0.0020951927,0.0019063477,0.0019784344,0.0018027085,0.0019980934,0.0023933565,0.002371974,0.002685353,0.00265295,0.002565246,0.0025414838,0.0026590137
BR,0.023490045,0.019917639,0.021355813,0.019724961,0.01907646,0.019285643,0.018839283,0.01961646,0.018781316,0.0167979,0.01516685,0.016486032,0.016585879
CM,0.0030340466,0.0027667545,0.0028239144,0.002495818,0.0021055476,0.0022329453,0.002216793,0.0024123245,0.0020915158,0.0015920427,0.001876509,0.0019844505,0.002467466
CV,0.0011639715,0.0012459963,0.0013957937,0.0014357305,0.0014136722,0.0014471341,0.0014263188,0.0012573933,0.0011788622,0.0012054546,0.0012321678,0.0011080281,0.0013204009
CN,0.09717208,0.10622654,0.113760725,0.113329,0.11805694,0.12868336,0.12771769,0.12514423,0.12249044,0.12525222,0.123413324,0.12236264,0.12402907
