,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,0.025017474,0.0,0.0,4.212934E-5,0.0014324037,0.007643744,0.007112412,0.03095216,0.004237981,4.045484E-4,9.724312E-4,7.1219273E-4,0.0020405483
IT,7.5916414E-6,1.145728E-5,4.2832817E-5,7.594056E-6,8.0396933E-7,3.357768E-6,3.8560343E-6,1.3016785E-6,6.4628983E-7,5.2851476E-7,4.2582924E-6,1.2459023E-5,6.515897E-6
MT,4.2852525E-6,2.9670486E-5,5.763109E-5,3.4594603E-5,0.0,1.2726126E-6,4.5604556E-6,5.1251922E-5,6.027311E-7,3.8314042E-7,1.7412664E-6,2.4059125E-5,2.9636243E-7
SI,0.0019534326,1.4336054E-4,5.2282406E-4,4.0026895E-5,1.4805878E-5,2.899456E-6,0.0,0.0,4.8632857E-5,4.681259E-5,0.0,4.1005845E-4,1.4758116E-5
DZ,1.9944518E-6,0.0,0.0,2.0873635E-4,4.275845E-5,3.765231E-5,0.0,0.0,1.8105646E-4,2.8795828E-4,2.3018695E-4,6.226257E-4,0.0
BE,1.3211658E-4,5.8536396E-5,4.3472945E-5,1.0154863E-4,9.218826E-5,1.3145852E-4,1.5145275E-4,4.9491925E-4,1.3209287E-4,2.6193823E-4,1.4354032E-4,2.0833297E-4,4.8515474E-5
HR,5.3464895E-4,5.3897174E-4,4.595614E-4,0.0,0.0,0.0,6.2911345E-6,5.563819E-7,6.443539E-5,4.8005035E-7,0.0,1.217814E-6,4.068726E-5
DO,1.10821304E-4,6.941819E-5,1.4356093E-4,1.1853694E-4,5.8070658E-8,0.0,0.0,0.0,0.0,1.2172669E-6,3.236311E-5,8.440801E-5,4.4384586E-7
EG,8.79223E-5,1.1750102E-5,1.4207931E-5,7.100846E-6,2.5492417E-7,1.816493E-5,1.5793348E-5,1.2018888E-5,3.4829103E-5,3.7672457E-5,3.7247235E-5,6.861335E-5,5.592123E-6
FR,9.4496616E-5,4.8576912E-5,6.419745E-5,8.9910245E-6,1.631243E-5,1.3709048E-5,1.3086834E-5,1.6861694E-4,6.922764E-5,6.0932623E-5,1.1957229E-4,2.4168294E-5,1.2592659E-5
DE,4.6061676E-5,8.608341E-6,3.189342E-5,5.0402163E-5,1.643446E-5,7.427031E-6,2.5686899E-5,2.0113714E-5,7.0964184E-6,1.4382063E-5,2.3526287E-5,1.1217376E-5,4.991642E-6
GR,1.2291202E-4,1.0915766E-4,0.0013292304,1.5045944E-4,4.63165E-5,1.6901625E-4,0.0,5.4002467E-5,0.0,0.0,1.5732897E-7,2.0954478E-7,0.0
GT,3.3584973E-5,7.537605E-5,1.7435176E-6,1.3549063E-5,4.8894155E-5,0.0,4.886976E-7,0.0,0.0,3.2424205E-6,8.422668E-6,8.73523E-5,0.0
LB,1.6783997E-4,0.0,2.66552E-7,0.0,0.0,4.3833305E-5,1.979383E-6,0.0,0.0,7.292885E-6,7.663209E-6,9.9303E-5,2.8198615E-6
LY,0.0,0.0,1.8955817E-4,0.0010544057,1.5389889E-4,3.449344E-4,0.0017722239,0.008856899,2.7679006E-4,0.004275346,0.004450825,0.0023104234,4.1314657E-4
