,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,79.984535,69.636,77.264435,60.63322,73.34493,80.14408,82.35298,83.07333,77.50115,80.52604,84.83027,68.195854,86.28227
IT,81.32963,81.178505,83.84938,78.13525,81.62924,75.9291,82.75363,79.75877,75.97414,81.38408,81.45392,82.85914,87.50353
MT,77.12223,67.103355,73.357796,70.66268,61.56718,61.15042,69.765625,63.623123,55.75025,58.644306,63.42014,69.29241,76.77856
SI,83.80348,80.56816,83.63259,60.340282,55.0975,57.3458,75.46037,72.67424,71.48461,62.952324,65.76807,85.299934,85.77613
DZ,81.70953,76.935646,81.07783,67.753944,80.09457,77.12997,58.756218,71.16275,75.25129,77.7332,80.75343,84.65034,83.293755
BE,85.46929,84.779106,85.76662,83.076,85.35429,82.50582,86.64759,86.15585,82.61902,84.90082,86.86333,86.079704,89.4955
HR,83.07968,80.62773,83.61921,48.448437,67.633606,50.624504,77.644554,81.459785,74.410706,75.21368,77.54169,81.289894,87.46822
DO,75.32679,78.64638,79.184685,78.99261,72.48424,60.215042,75.5879,78.424904,70.43875,77.26951,81.548645,84.41783,79.58002
EG,83.313515,79.01911,81.44191,71.066795,72.93532,78.44141,78.02296,74.33562,78.20499,81.575584,85.167534,85.1432,86.99602
FR,84.82683,83.31943,84.93448,78.40739,85.19019,82.193634,86.058586,85.82518,82.399994,84.42199,86.76024,85.71503,89.2729
DE,84.81689,82.58761,83.48257,82.34444,83.40242,80.53677,85.25677,83.92484,79.91957,84.03082,86.27284,85.610886,89.14659
GR,82.54096,82.16309,85.807365,77.3994,79.96374,80.947495,68.38973,77.28606,64.494194,64.322945,64.2424,53.461613,83.31506
GT,73.687294,62.908463,70.23181,69.25822,80.1399,58.001575,69.26633,53.7034,48.80814,77.634094,81.48432,84.62288,83.66599
LB,82.93572,76.256935,76.49336,59.858807,51.735165,64.12705,76.81074,77.593,57.36836,77.6452,80.74764,84.6682,79.75549
LY,80.95028,77.19786,81.89091,69.9112,59.90211,65.2101,83.513824,83.96308,79.01388,84.511765,86.543434,85.650635,89.020775
ES,84.97094,83.02852,84.75381,73.11484,78.429924,77.894394,80.4797,80.095,79.57335,83.90695,85.234604,85.570915,88.96871
MX,76.42422,70.97146,80.308685,78.22838,79.63232,75.71787,77.03105,79.845245,73.1527,78.53356,83.07671,85.28445,88.90853
MA,81.469795,81.08342,83.37419,77.74823,77.22573,82.67375,85.8114,84.09822,80.57349,81.07798,78.29696,75.48041,86.22256
PT,77.50257,75.97518,81.392395,77.152245,79.81067,72.027794,80.59083,75.514946,72.324936,76.9154,81.81508,78.04273,84.48016
TN,81.01032,80.009964,82.52867,80.34296,82.058334,82.17532,83.70263,77.15775,78.98098,78.650894,85.6656,72.88143,86.058815
TR,73.46997,68.42619,69.14996,46.253662,67.123215,77.7296,66.72103,81.44443,73.131516,75.53065,78.38436,83.77586,85.21461
JE,85.10995,85.01988,86.06521,81.42917,81.48311,82.07716,83.2196,84.12054,80.20236,84.22867,86.41498,85.634705,89.34615
US,80.86475,80.546005,82.32703,71.570625,77.03685,76.48629,78.76315,79.66434,75.08417,75.75713,77.48194,82.916794,85.13883
VE,70.04185,52.284557,72.46463,64.17943,76.04191,78.17739,81.493164,84.17297,81.04776,83.32803,85.38749,85.278694,88.91292
AS,85.22543,83.9879,84.04103,80.75007,80.800476,77.46103,80.71606,76.38478,77.09533,74.474976,77.86489,68.76824,79.30878
AU,77.44488,80.12024,76.699295,82.0106,84.06439,83.98665,86.35636,79.68417,78.65796,78.894745,82.1611,71.032555,84.19751
CA,82.87035,72.49436,76.55402,81.89744,83.0424,83.199005,86.088394,82.27226,79.40577,81.12749,74.333374,83.21245,82.369514
FJ,83.917595,83.18609,83.69013,80.073425,80.941284,66.414185,84.589455,80.7044,77.05488,78.43922,73.23398,69.70646,82.790115
PF,82.75758,81.99177,83.78758,81.56892,82.725716,77.90551,82.40398,82.581375,78.539825,80.192894,81.94019,72.12389,77.399635
HK,83.39352,80.64869,82.73664,78.475044,79.560745,59.670418,81.59404,81.414925,78.77835,76.45506,83.22648,66.61469,77.78792
IN,83.05392,81.780495,79.587585,81.852356,80.303215,82.20537,86.01837,64.444595,76.50784,81.07368,71.65339,84.31965,87.6646
ID,80.100174,77.67697,78.09001,79.68081,79.4381,77.61945,83.60422,74.70576,77.53213,79.48752,82.140785,72.29039,80.3963
JP,61.883877,70.49534,76.41969,72.953,77.155685,65.611824,80.05546,83.52103,78.560234,77.91199,81.58384,80.23271,81.09428
MY,81.73446,80.90157,79.0594,72.591515,72.311226,77.34058,82.18883,81.12064,77.07782,79.684364,83.10203,64.26787,74.7133
MH,78.16387,74.8362,79.62686,80.354256,80.8236,77.84411,85.599655,79.76149,78.22739,79.11208,78.417984,71.51135,79.26383
NC,82.476105,80.76894,83.21553,80.954636,80.73896,77.80798,82.29206,82.49425,78.82478,81.07446,82.128426,71.858185,77.94499
NZ,83.25919,82.58303,81.78901,80.5964,82.17074,78.923,84.60213,82.77425,79.627045,81.41317,82.09702,69.46198,83.23282
PG,74.85997,77.5449,74.81633,80.03611,52.567936,34.785614,66.327194,64.53919,48.021263,65.95089,72.86311,64.31975,74.50172
WS,81.77147,79.911896,83.39088,81.39787,81.49601,79.14522,81.74077,76.94824,76.48513,68.56396,77.79732,69.46033,77.526
SA,83.479164,82.8652,85.67864,81.20454,78.21928,67.80649,64.88583,74.68929,74.415825,75.53173,83.694496,83.78107,86.58591
SG,79.78702,81.911316,79.68417,79.400314,81.32505,82.78256,86.16586,81.90818,78.8184,78.275505,83.807,71.05733,85.01417
SB,85.13367,82.43027,82.2684,81.60086,82.61782,80.10109,84.0282,74.406784,73.84887,75.68787,77.36648,69.1681,82.817024
KR,79.96678,74.29216,79.06495,78.5323,81.59672,77.57013,82.51977,81.70737,77.91779,76.857254,83.39737,67.413475,81.619446
TW,79.72443,72.32845,81.3097,76.23613,80.17617,72.32831,80.86597,76.52519,77.27886,74.64554,74.380135,67.41251,75.55908
TH,81.31097,81.84257,61.597992,67.58197,69.797035,55.6403,62.771,76.72192,71.220856,65.75634,69.415375,72.86467,83.95323
TO,80.964096,80.585915,81.78938,80.68079,81.59334,79.13565,81.63906,80.33446,76.46511,73.05207,77.77046,71.70473,79.67471
VU,80.83352,78.85263,79.504234,80.68393,83.050514,81.113884,84.55876,76.77241,70.72447,65.882225,69.79378,67.26455,75.11365
WF,83.05586,78.60883,78.783,80.56717,77.73448,71.55104,80.1269,76.53952,75.07665,74.07543,75.750336,73.03995,80.317825
AO,72.58069,79.71513,79.241714,74.36226,76.60511,76.93443,73.80045,73.09894,69.39544,79.559006,67.2061,83.35266,85.54325
