,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,418.10074,1432.4802,5953.3145,7799.4253,8132.813,5238.975,4919.1978,6285.9053,6994.3877,10045.301,14269.35,12308.7295,7239.9995
IT,1863934.0,2166978.0,2200791.0,2502598.2,2564765.8,2732088.8,2535757.8,2675791.2,2815667.8,3341470.2,3643137.0,3896554.8,3757057.2
MT,249978.61,331359.2,363824.8,467246.66,479623.38,503302.3,429457.94,519773.66,565854.8,843878.1,994038.2,931228.0,1014039.2
SI,49671.203,76838.18,88925.23,97863.67,123334.92,134605.2,149934.75,173746.31,183235.28,245266.4,229378.25,248245.44,235763.86
DZ,89101.9,75845.57,61551.42,50382.02,58959.12,55357.945,48259.688,51939.4,51593.223,56111.242,63685.01,70806.42,91493.414
BE,1428035.5,1726530.1,1769448.2,1758449.0,1907987.6,1940654.9,1991135.9,2041703.4,2030242.9,2013831.6,2258962.2,2260246.2,2280800.0
HR,28698.46,56691.98,74560.08,67164.8,105144.09,96748.04,123233.49,144200.8,132735.92,140789.5,167472.9,195152.61,206724.5
DO,171391.58,206129.52,240804.06,293077.53,312040.22,288088.56,328278.16,356920.22,363820.75,351220.75,394883.7,498510.66,567361.56
EG,1103105.5,1296649.9,1386217.5,1485395.1,1551485.0,1670885.0,1343164.5,1355615.1,1503480.8,1549728.6,1867105.0,1721809.6,1844313.5
FR,1468966.4,1865102.8,1813777.0,1834183.6,1816523.6,1836962.5,1938602.4,2144189.8,2154517.2,2199147.5,2537672.8,2503625.5,2615313.0
DE,2295963.0,2444963.5,2527232.5,2535649.5,2574701.8,3008864.5,2873490.5,2916926.2,2931661.5,3290995.8,3360251.0,3339528.0,3234497.0
GR,396019.66,326804.53,281235.28,305767.38,379429.2,408135.56,432981.6,500006.1,570327.0,732325.4,765381.3,1087575.1,1248747.4
GT,204001.7,244939.34,198642.94,228625.52,185305.2,143752.55,106465.25,124717.07,136335.19,129812.27,157466.14,201332.64,235673.77
LB,150735.83,227808.44,189775.4,276350.75,281271.03,381102.03,335432.6,358838.34,369531.88,411623.3,484151.88,513790.6,579274.7
LY,63969.92,122663.375,70958.51,52305.383,57286.29,56481.492,43101.316,54031.3,69534.74,53067.22,42097.25,43690.035,56509.9
ES,2225040.8,2382410.2,2264139.8,2422052.8,2767932.0,2922238.8,2820359.2,2832996.8,2956184.8,3287768.0,3781805.8,3863351.2,3861464.8
MX,814435.7,827440.2,866773.75,944456.8,1063833.8,1262184.8,1100566.9,1232254.0,1368690.1,1515105.8,1595013.0,1740243.8,1889567.6
MA,37889.215,76977.55,331353.53,483450.56,750044.56,793034.9,660255.3,898272.3,951321.94,910766.56,1098375.4,1367639.2,1382411.5
PT,200249.1,255543.8,352148.72,370057.78,411498.1,462106.6,443388.38,490300.44,517419.2,615190.44,727006.9,800011.8,853328.0
TN,27959.893,29016.508,22879.027,22163.328,26400.771,31950.527,21983.035,24669.455,23370.95,23339.094,23713.477,25280.457,27132.955
TR,687775.44,786039.94,945020.75,985264.75,1080616.6,1295612.5,1330741.6,1475014.8,1777573.1,2130356.0,2301053.5,2628242.0,3168289.8
