,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,0.0033860744,0.0068443324,0.18356247,0.071085215,0.035422828,0.052784704,0.043646608,0.11870433,0.12383398,0.10140405,0.04309135,0.09069145,0.030266397
IT,0.031240704,0.0277702,0.030942693,0.033468276,0.03686874,0.031309947,0.030071331,0.03339936,0.03455442,0.033524625,0.032997027,0.034152027,0.029645037
MT,0.024209373,0.020852087,0.016159719,0.018120226,0.02132098,0.022572024,0.029644048,0.029701881,0.027347121,0.026360255,0.022598904,0.021947091,0.023943717
SI,0.028057817,0.027928278,0.015959853,0.018137788,0.02316417,0.022025311,0.018328002,0.021234566,0.020989554,0.025412576,0.031201882,0.020013988,0.033852972
DZ,0.06635408,0.09361774,0.068703786,0.05720339,0.04917576,0.046766616,0.07664932,0.061908074,0.041130614,0.02484043,0.02426888,0.022817573,0.04006675
BE,0.0111026345,0.01175188,0.012206444,0.012843591,0.013119487,0.013607251,0.013458644,0.012361677,0.011738725,0.010341785,0.011587886,0.0113430405,0.011736362
HR,0.07238196,0.05086683,0.061872523,0.07934097,0.05581399,0.072626136,0.042519208,0.02192496,0.030883323,0.037927892,0.036951825,0.049076274,0.05400884
DO,0.027664188,0.031460542,0.04150891,0.027487462,0.03264074,0.03624015,0.030726606,0.028100876,0.029525088,0.02869277,0.030961545,0.026828323,0.032867566
EG,0.029106142,0.03691235,0.03788603,0.041005608,0.04108536,0.0350327,0.03983532,0.03802851,0.036467582,0.02635799,0.031244922,0.027403714,0.03243566
FR,0.01736707,0.015208254,0.017109966,0.018553546,0.018091667,0.018835723,0.017241111,0.016474416,0.01544628,0.014833566,0.014435658,0.015536197,0.015096739
DE,0.02646684,0.024317475,0.023244383,0.024066111,0.026961634,0.028927082,0.029716007,0.029775571,0.025970276,0.02661734,0.026424736,0.029292004,0.026883293
GR,0.01884403,0.018387051,0.015760392,0.021402432,0.024279833,0.016398262,0.023513237,0.023857785,0.02433412,0.023365248,0.027836274,0.03312079,0.031564612
GT,0.03457613,0.040911224,0.036057416,0.039604895,0.035679717,0.047441978,0.053735938,0.07048144,0.06861021,0.050051328,0.03394434,0.027648598,0.03528866
LB,0.012881776,0.02700295,0.02397168,0.028987983,0.028228767,0.027102802,0.025034375,0.0340392,0.02886122,0.017502595,0.015804179,0.01602836,0.025192712
LY,0.050944444,0.040984318,0.046643578,0.0898183,0.09634181,0.12056971,0.078602634,0.038412374,0.039479706,0.03528851,0.037275158,0.03401115,0.027701976
ES,0.022550937,0.02657123,0.028579144,0.031428482,0.030444125,0.027264755,0.028868992,0.025557164,0.024570113,0.02651566,0.025244921,0.028049221,0.028679943
MX,0.032358494,0.042192385,0.034728453,0.037276644,0.04239007,0.038545854,0.055027418,0.05288843,0.046144616,0.042707853,0.035028886,0.03829484,0.047032356
MA,0.03826147,0.018044008,0.018827893,0.022337396,0.025641639,0.025615796,0.029939776,0.031061508,0.02515486,0.027460713,0.029551422,0.027308788,0.026125608
PT,0.035877235,0.038994845,0.030449783,0.031877607,0.029934274,0.033034023,0.034343626,0.035993908,0.034988914,0.035491653,0.029472595,0.027949888,0.02449595
