,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,1.734104,1.7241379,2.8901734,3.468208,6.25,4.571429,6.179775,6.2146893,5.05618,4.494382,5.6179776,4.494382,6.7415733
IT,55.49133,57.471264,52.601154,52.601154,47.727272,50.857143,51.123596,49.717514,48.876404,48.876404,50.0,50.0,51.123596
MT,27.745665,31.034483,34.68208,34.68208,31.25,30.857143,24.7191,24.858757,25.2809,28.651686,32.022472,29.775282,28.651686
SI,15.606936,15.5172415,14.450867,10.982658,10.227273,10.285714,13.483147,12.99435,14.044944,16.292135,14.606742,16.292135,11.797753
DZ,12.716763,9.195402,9.248555,8.092485,9.659091,10.285714,7.303371,7.9096045,10.11236,14.606742,13.483147,14.606742,10.674157
BE,67.052025,67.81609,65.89595,63.00578,60.795456,60.0,57.86517,57.06215,57.30337,61.235954,59.550564,59.550564,58.426968
HR,10.404624,13.793103,14.450867,10.404624,12.5,9.714286,12.35955,12.4293785,14.044944,14.044944,13.483147,13.483147,11.797753
DO,31.791906,29.885057,26.589596,27.745665,26.704546,25.714285,26.404495,28.248589,28.651686,28.651686,32.58427,34.831463,33.14607
EG,35.260117,32.75862,32.36994,31.213873,30.681818,33.142857,28.651686,29.37853,30.33708,34.831463,35.393257,37.07865,34.269665
FR,60.115604,64.36781,60.69364,56.6474,55.68182,55.42857,56.179775,57.06215,57.30337,57.30337,56.741573,55.05618,56.179775
DE,58.381504,59.1954,60.115604,55.49133,50.0,49.142857,50.0,48.58757,49.4382,50.0,50.0,49.4382,48.876404
GR,30.635838,25.287355,27.16763,24.855492,25.568182,26.857143,20.786518,24.293785,25.2809,24.7191,21.910112,26.966293,26.404495
GT,23.69942,21.83908,21.387283,20.231215,20.454546,18.285715,15.16854,13.559322,14.044944,16.853933,21.348314,24.7191,21.348314
LB,17.919075,14.942529,15.028901,15.028901,14.204546,15.428572,15.16854,13.559322,15.16854,21.348314,24.7191,23.033709,17.415731
LY,10.404624,11.494253,12.716763,8.67052,7.9545455,7.428571,9.550562,13.559322,12.35955,12.35955,12.35955,12.35955,12.921349
ES,64.73988,59.770115,57.225433,54.913296,54.545456,56.57143,55.617977,55.367233,57.30337,57.86517,59.550564,56.741573,58.426968
MX,30.635838,26.43678,29.479769,30.635838,29.545454,32.0,29.213484,30.508474,32.022472,33.14607,34.269665,31.460674,29.775282
MA,13.872832,20.114943,29.479769,35.260117,39.772728,41.714287,35.955055,37.288136,41.573036,39.88764,42.13483,43.258427,42.69663
PT,31.791906,30.45977,35.83815,35.260117,34.090908,31.428572,32.022472,29.37853,29.775282,32.022472,32.58427,32.58427,37.64045
TN,10.982658,10.91954,10.404624,9.248555,10.795455,12.571428,8.988764,5.649718,6.7415733,6.7415733,6.7415733,5.05618,6.179775
TR,26.589596,22.988506,23.69942,24.277456,26.136364,27.428572,23.595507,26.553673,25.2809,27.52809,28.651686,34.269665,33.707867
JE,68.786125,68.3908,67.63006,63.583813,61.363636,60.0,56.179775,56.497177,57.86517,58.988766,60.112362,58.988766,59.550564
US,63.00578,59.770115,57.225433,57.225433,58.522728,58.857143,61.235954,63.276836,63.483147,60.67416,60.112362,58.426968,57.86517
VE,25.433525,24.712643,26.01156,25.433525,23.863636,18.285715,20.786518,23.728813,21.910112,21.348314,20.786518,17.977528,16.292135
AS,16.763006,17.241379,14.450867,12.138728,8.522727,8.571428,8.426967,8.474576,8.426967,8.988764,9.550562,8.988764,8.988764
AU,23.69942,24.712643,26.589596,27.16763,25.568182,26.857143,26.404495,24.858757,25.2809,26.966293,25.2809,26.404495,28.089888
CA,34.104046,31.609196,32.947975,29.479769,28.409092,31.428572,30.898876,28.81356,29.213484,30.898876,26.966293,32.022472,30.33708
FJ,16.763006,16.666666,19.65318,18.49711,18.181818,17.142857,17.977528,18.079096,18.539326,14.606742,14.044944,14.606742,15.16854
PF,17.34104,18.965517,19.075144,17.34104,13.068182,12.571428,12.921349,13.559322,11.797753,11.235955,11.235955,11.797753,11.235955
