,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
IT,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
MT,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
SI,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
DZ,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
BE,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
HR,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
DO,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
EG,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
FR,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
DE,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
GR,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
GT,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
LB,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
LY,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
ES,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
MX,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
MA,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
PT,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
TN,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
TR,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
JE,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
US,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
VE,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
AS,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
AU,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
CA,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
FJ,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
PF,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
HK,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
IN,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
ID,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
JP,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
MY,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
MH,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
NC,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
NZ,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
PG,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
WS,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
SA,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
SG,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
SB,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
KR,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
TW,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
TH,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
TO,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
VU,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
WF,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
AO,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
AR,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
BJ,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
BR,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
CM,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
CV,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
CN,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
CD,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
CG,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
CI,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
GQ,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
GA,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
GM,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
GH,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
LR,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
MR,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
NAB,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
NL,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
NG,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
ST,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
SN,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
SL,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
ZA,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
TG,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
AE,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
AI,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
BS,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
VG,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
DM,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
GP,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
AN,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
KN,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
VI,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
AG,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
BB,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
GD,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
HT,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
JM,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
MQ,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
LC,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
VC,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
TT,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
CL,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
CO,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
EC,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
GN,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
KW,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
OM,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
PK,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
PE,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
QA,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
UY,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
AW,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
CR,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
CW,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
GY,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
PA,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
PR,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
SR,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
CC,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
TL,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
MU,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
NF,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
PH,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
RE,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
LK,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
CU,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
BH,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
BD,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
JO,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
MV,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
MM,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
YE,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
GF,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
HN,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
BG,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
CY,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
DK,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
DJ,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
EE,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
FI,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
GI,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
IR,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
IE,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
IL,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
KE,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
LV,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
LT,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
MG,-999.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
