,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,0.5716462,0.5364086,0.5507222,0.57218343,0.74380404,0.5940749,0.62083983,0.74583703,0.6948071,0.6436554,0.6426562,0.6682917,0.64481634
IT,0.7704885,0.7670749,0.75704443,0.74526787,0.7271493,0.7163547,0.7326019,0.7353271,0.73372054,0.7312352,0.7410157,0.7302911,0.73575366
MT,0.7344572,0.7336875,0.741184,0.7411648,0.74139756,0.72147864,0.71184677,0.7166573,0.72277856,0.6942018,0.710146,0.70440096,0.7121156
SI,0.6536228,0.6689897,0.6610219,0.6219112,0.6441788,0.64770854,0.6891165,0.6666586,0.66023755,0.6404035,0.67318445,0.66973954,0.6292173
DZ,0.6760721,0.64209425,0.7117292,0.6786588,0.6966879,0.71920025,0.67304254,0.67727554,0.7218802,0.7712356,0.7589976,0.7436664,0.65323746
BE,0.8221501,0.80937856,0.80908245,0.8071434,0.8038649,0.7850604,0.7859839,0.7894904,0.7906148,0.7994748,0.80568624,0.80259985,0.8099016
HR,0.62147444,0.65940374,0.6699349,0.6356915,0.7079549,0.6842866,0.67906386,0.67126924,0.67849976,0.6339256,0.6662851,0.6557954,0.62759954
DO,0.8028749,0.7946836,0.7753396,0.77390844,0.7609343,0.7644033,0.75964105,0.7723737,0.76906973,0.78292847,0.76964957,0.7701598,0.7635339
EG,0.72785497,0.7339631,0.7213317,0.7054844,0.69147134,0.689732,0.69388473,0.7064513,0.7092343,0.71728885,0.7185961,0.73395693,0.7317529
FR,0.8043244,0.80115986,0.7993827,0.7948364,0.78597075,0.76524115,0.77056783,0.7751219,0.78457046,0.79166156,0.793774,0.7874016,0.7904017
DE,0.80156064,0.78732353,0.7808879,0.7849636,0.76514685,0.72999114,0.74882054,0.750236,0.75181353,0.7442196,0.75571483,0.7490425,0.75188035
GR,0.7382238,0.72423685,0.7417585,0.6913475,0.72757936,0.7450552,0.6871932,0.7087658,0.69615066,0.65856946,0.656447,0.6901977,0.6858675
GT,0.76383734,0.73770636,0.7423196,0.7249397,0.7346585,0.72715104,0.7470956,0.7257345,0.7323545,0.7329319,0.761499,0.7480795,0.72843385
LB,0.6815284,0.6019213,0.6160431,0.64066446,0.64899015,0.6519852,0.64940935,0.6423913,0.6396617,0.64472824,0.68242145,0.6699996,0.63604146
LY,0.73203206,0.68134093,0.7208024,0.68241054,0.6616212,0.73076177,0.78486323,0.7168207,0.68258977,0.7139822,0.7082354,0.6956778,0.6799789
ES,0.7777936,0.770149,0.75641215,0.75586057,0.7418892,0.73683566,0.7290913,0.74468714,0.75469744,0.75688565,0.7635027,0.7505006,0.76834303
MX,0.71249866,0.69019914,0.6951694,0.7060373,0.68186563,0.68096143,0.6984027,0.70512897,0.7144783,0.717936,0.71848375,0.708517,0.7039565
MA,0.6437052,0.710983,0.71939534,0.75497425,0.7661292,0.7653336,0.76786286,0.771793,0.7785228,0.78676456,0.8063303,0.7945913,0.7941174
PT,0.7515787,0.7442623,0.7532231,0.75202566,0.76879036,0.7229342,0.7286524,0.75421387,0.75420123,0.76258045,0.7799079,0.7914066,0.8069846
TN,0.6680861,0.70952916,0.7450673,0.7275402,0.7576769,0.7627868,0.7306684,0.6621613,0.6743452,0.7009377,0.7042434,0.6133276,0.5803001
TR,0.73582953,0.70021397,0.66411793,0.67925996,0.7049793,0.71185035,0.6765448,0.7134945,0.6858713,0.68876445,0.6888849,0.70405716,0.6860873
JE,0.81554216,0.81110686,0.8120212,0.80710065,0.7931044,0.76937574,0.77475464,0.7827498,0.7885836,0.78570557,0.7940807,0.7909568,0.7990971
US,0.6706615,0.6623287,0.6591585,0.6425061,0.6225655,0.6186195,0.63761944,0.6519084,0.64693004,0.64649314,0.6495839,0.61815906,0.61086565
VE,0.7180636,0.7253745,0.6936224,0.69660795,0.6879582,0.67369044,0.70068985,0.7368062,0.74077237,0.7312752,0.6700831,0.6845814,0.654101
AS,0.81218016,0.8155917,0.7907446,0.79270566,0.7264979,0.729475,0.72023326,0.73176986,0.7428741,0.7375205,0.7281024,0.7256856,0.71075594
AU,0.6139935,0.6187972,0.6160389,0.62368315,0.6162347,0.6353311,0.6517345,0.63716507,0.62809193,0.6226968,0.64463985,0.6592111,0.64707065
CA,0.69074166,0.6803005,0.68700117,0.65168256,0.6459027,0.65174603,0.6668378,0.65539867,0.653622,0.673841,0.6394865,0.656961,0.66087085
FJ,0.73969215,0.73455137,0.7388176,0.76864296,0.77850837,0.755459,0.74304056,0.75048506,0.7216879,0.69470507,0.71214354,0.7224155,0.7188994
PF,0.7484996,0.7653352,0.77305406,0.77713555,0.747982,0.7483218,0.7612512,0.78142405,0.7774289,0.74543464,0.70080155,0.71577215,0.69640154
HK,0.73175704,0.7262725,0.7107067,0.70032823,0.679599,0.66233724,0.6621064,0.6623801,0.67462045,0.6701642,0.64961183,0.63541347,0.62607235
IN,0.7508322,0.7621792,0.74573416,0.7636472,0.74498856,0.7362556,0.73919994,0.7342525,0.7353733,0.72468007,0.7166421,0.70271695,0.69259816
ID,0.72175944,0.726832,0.69205904,0.6932549,0.6692804,0.6738128,0.6522159,0.6227815,0.56541353,0.5482852,0.5245821,0.53117776,0.5334335
JP,0.57906353,0.58940595,0.5981599,0.61043227,0.58597064,0.57740855,0.57922184,0.5935453,0.59198576,0.58052725,0.57979566,0.53968686,0.52434313
MY,0.7338883,0.7254394,0.7080226,0.69771796,0.67989093,0.6729781,0.6731602,0.6722016,0.6677164,0.6560582,0.64933044,0.6399061,0.63897866
MH,0.7464574,0.7803973,0.73197037,0.7494185,0.7016898,0.70253676,0.7701578,0.7752408,0.76629806,0.7642306,0.719156,0.68815464,0.6577688
NC,0.7675248,0.7553578,0.78420675,0.7837809,0.78803957,0.7755997,0.7388382,0.74346185,0.7317667,0.78513324,0.7866482,0.78389543,0.7498624
NZ,0.64846766,0.6576078,0.6618565,0.59320784,0.56824285,0.59591943,0.57176816,0.582881,0.5514504,0.5243879,0.58591473,0.5698142,0.5526732
PG,0.7370347,0.753558,0.74195325,0.7319543,0.6113945,0.61510193,0.6335033,0.62443435,0.5960451,0.5856018,0.58611095,0.57321906,0.55673736
WS,0.78863764,0.78702515,0.7900897,0.7961144,0.7317251,0.7395308,0.72684264,0.7301364,0.7282517,0.7274691,0.7298284,0.72884274,0.71711934
SA,0.74255615,0.74222505,0.73053265,0.69412625,0.6879358,0.6903674,0.689733,0.69723964,0.6950947,0.6723145,0.6830068,0.66467553,0.6833045
SG,0.77994645,0.7584149,0.741325,0.7351641,0.7213739,0.707574,0.7012438,0.6949427,0.69371957,0.69053894,0.6910992,0.6758268,0.68265504
SB,0.8089706,0.7971264,0.7772527,0.7431838,0.66200954,0.70700794,0.7164796,0.7435719,0.73166,0.7010253,0.7098978,0.6734255,0.6418256
KR,0.68276614,0.6819561,0.67680275,0.6657994,0.6688402,0.6640008,0.6416685,0.63180655,0.62829983,0.6311043,0.64105916,0.6108137,0.6098945
TW,0.69859314,0.6930286,0.6877543,0.69518936,0.66830885,0.6605008,0.6592867,0.66086936,0.66681254,0.64825106,0.6290634,0.6390727,0.63627076
TH,0.6941988,0.69731605,0.70026124,0.6979985,0.68604666,0.67936397,0.67429525,0.6944269,0.68412197,0.68237054,0.6846263,0.706322,0.7177725
TO,0.72458124,0.74277043,0.68783134,0.68719023,0.7091661,0.7336186,0.7119546,0.7321187,0.7269356,0.6972004,0.72888184,0.7299213,0.7116287
VU,0.79653,0.8009579,0.79129213,0.78247243,0.67762464,0.72699034,0.7244027,0.7605277,0.75819594,0.71261483,0.7099344,0.6696464,0.62097675
WF,0.52686584,0.5194591,0.5407435,0.6347766,0.6071537,0.5706999,0.61529434,0.59967244,0.5962236,0.5399194,0.5722118,0.5184854,0.51359284
AO,0.79566836,0.7610681,0.7565624,0.7754952,0.7400059,0.7445567,0.7068371,0.6464373,0.69641745,0.7512734,0.76335555,0.74977636,0.7283693
AR,0.7254796,0.734684,0.7126529,0.71301436,0.65806323,0.6403606,0.6488362,0.6799409,0.67617846,0.65890014,0.6582418,0.6429608,0.6528562
BJ,0.743586,0.7411724,0.7449825,0.7712947,0.73482054,0.7379086,0.6908545,0.7386884,0.74262315,0.7719701,0.7337187,0.69379264,0.7010795
BR,0.62252563,0.6622346,0.6544266,0.64144135,0.6000326,0.590346,0.5925469,0.5851692,0.58221614,0.54786277,0.54123324,0.52014434,0.54860604
CM,0.7988653,0.80221367,0.8052956,0.8141396,0.79078454,0.7771976,0.8063434,0.80970967,0.74674237,0.81673783,0.7802327,0.7822412,0.73222446
CV,0.6863849,0.7010534,0.72005373,0.7333891,0.70830345,0.71574265,0.7029388,0.7211514,0.68845594,0.5987149,0.54473794,0.6729093,0.6624374
CN,0.62295467,0.6199007,0.60260874,0.5839595,0.588111,0.5530333,0.5306912,0.5339829,0.53483194,0.5281244,0.533673,0.5077978,0.5064669
CD,0.67535067,0.6983707,0.6892048,0.7279518,0.73955053,0.72566473,0.7984851,0.79998034,0.8239077,0.8067624,0.793596,0.8116435,0.8317064
CG,0.79095095,0.78713256,0.7975588,0.7739613,0.68462884,0.75766313,0.754812,0.70787364,0.6986747,0.69653714,0.7214206,0.73912495,0.71622777
CI,0.79074824,0.77676654,0.7997478,0.81214523,0.7771665,0.75998783,0.73304313,0.757333,0.72551984,0.7141554,0.7369032,0.7296494,0.7417398
GQ,0.7253275,0.70237046,0.6939491,0.7286184,0.741452,0.72733074,0.7519794,0.82243973,0.7939106,0.7895599,0.80015326,0.7462598,0.781342
GA,0.74080235,0.77078927,0.78681695,0.80815256,0.8037117,0.7754836,0.7533913,0.7399447,0.8003696,0.8254482,0.78565073,0.7637587,0.780919
GM,0.6333467,0.7382317,0.75643677,0.7444567,0.77136576,0.7320585,0.7866322,0.7855986,0.78710467,0.81048834,0.7733874,0.68688023,0.6901034
GH,0.7942904,0.79078037,0.794603,0.7893964,0.7739953,0.7371667,0.7118296,0.73574483,0.7179219,0.6929161,0.7271443,0.7226205,0.73332036
LR,0.6444948,0.7809624,0.7625262,0.7798081,0.74777275,0.62860924,0.7448254,0.7642049,0.7510021,0.732525,0.7371176,0.7020514,0.6823216
MR,0.6797537,0.7097662,0.7395627,0.73335373,0.7556482,0.7191447,0.6586408,0.7324945,0.77634776,0.61884135,0.66515446,0.6975709,0.71436155
NAB,0.76726556,0.7462675,0.75254536,0.7569338,0.69510645,0.6950188,0.56721526,0.61345154,0.6594256,0.6402205,0.67350084,0.6460132,0.57132584
NL,0.79538894,0.78825116,0.785272,0.79763407,0.78548634,0.7666615,0.76667017,0.7681476,0.7634109,0.7609186,0.76603127,0.7638653,0.7841802
NG,0.7793622,0.7775183,0.77704203,0.76930016,0.75681925,0.69982314,0.63865316,0.6586606,0.67045903,0.6793387,0.69622207,0.65824014,0.64686286
