,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,8.3030296E-5,2.1238287E-4,7.1110856E-4,8.677827E-4,8.170832E-4,4.1280722E-4,4.0211392E-4,4.971776E-4,5.51358E-4,6.939643E-4,9.049835E-4,7.702211E-4,4.2597725E-4
IT,0.42827135,0.35030314,0.28303206,0.31593022,0.28670475,0.2248722,0.230851,0.21892987,0.24767932,0.25643694,0.25641596,0.27068305,0.24276666
MT,0.054796044,0.054807603,0.048749227,0.05812326,0.05295543,0.043718442,0.037685793,0.044229694,0.04828706,0.06316721,0.06785448,0.06264648,0.06366831
SI,0.010245274,0.0118862325,0.010943587,0.011188705,0.012615663,0.010964943,0.012732537,0.014233943,0.015046627,0.017784653,0.015189741,0.016102722,0.014149219
DZ,0.018112928,0.0088874325,0.006311643,0.00569221,0.005948458,0.003799652,0.0040100073,0.0035303172,0.0041564344,0.003989411,0.004141722,0.004554957,0.005473218
BE,0.3302486,0.2963221,0.24424002,0.22674248,0.21828385,0.17497367,0.18329965,0.17975542,0.17988427,0.15731561,0.16191114,0.1598559,0.1514743
HR,0.0058446648,0.008682382,0.009100275,0.0077685043,0.01084825,0.007883661,0.010507116,0.011640806,0.010937084,0.010083072,0.011020814,0.012629015,0.012397702
DO,0.038171824,0.034141682,0.031365436,0.03600799,0.034218397,0.024975644,0.029309552,0.030694418,0.031902596,0.027039753,0.028124105,0.03487456,0.03684397
EG,0.24293178,0.21385139,0.18419583,0.18534808,0.17148574,0.14351688,0.120260864,0.116398014,0.13077551,0.117992945,0.12918189,0.11764968,0.11798424
FR,0.33985817,0.31517443,0.24719088,0.23507598,0.20671858,0.16233553,0.17779544,0.18706127,0.1917578,0.17224865,0.18147483,0.17743902,0.17336541
DE,0.52061975,0.40592805,0.33539656,0.31939498,0.28909498,0.26165348,0.26308337,0.2530966,0.25867105,0.2537639,0.23852366,0.23396087,0.2124835
GR,0.08731646,0.051427815,0.0353233,0.036568966,0.0409288,0.03437572,0.037796482,0.04149718,0.04872993,0.05445529,0.05179252,0.0733962,0.078660145
GT,0.043832354,0.03924645,0.025752664,0.027320046,0.019791944,0.012147583,0.009017394,0.010250757,0.011274186,0.009404828,0.01059352,0.013527756,0.014670708
LB,0.032070305,0.03605639,0.024064036,0.032849185,0.029796349,0.0320946,0.02894242,0.029819783,0.03079618,0.030088315,0.032431345,0.033463847,0.035241514
LY,0.013282052,0.017222319,0.0073090633,0.0058683576,0.005732761,0.0032028838,0.0035284588,0.0037045851,0.005587902,0.003746322,0.0026930715,0.0027669675,0.0033614
ES,0.5110573,0.38425148,0.28795105,0.3095216,0.31169617,0.24591962,0.25900882,0.23504463,0.2629331,0.25557858,0.26922217,0.27124852,0.25416672
MX,0.17696233,0.12938978,0.107246995,0.11365887,0.11341393,0.101546906,0.097025186,0.10004185,0.11712542,0.11364761,0.10903226,0.11612478,0.11716911
MA,0.007797643,0.011630196,0.043217365,0.06068031,0.0846033,0.07149864,0.060920663,0.079340614,0.085363224,0.07111624,0.07987181,0.09755191,0.09171508
PT,0.043661665,0.037848298,0.04361329,0.045051455,0.045060456,0.03798668,0.039039277,0.039607994,0.04395506,0.04586391,0.050500393,0.05528872,0.055869434
TN,0.0057951035,0.004173803,0.0026532763,0.002527082,0.002699395,0.002443225,0.0018312188,0.0018555359,0.0018710732,0.0016351474,0.0015172173,0.0015946812,0.0015961421
TR,0.1496565,0.114063054,0.108535565,0.11767501,0.11576691,0.09715342,0.115764834,0.1087114,0.15121508,0.1590007,0.15525696,0.17590614,0.19806094
JE,0.44073713,0.3476013,0.2522175,0.24717763,0.23065121,0.19422948,0.1947474,0.19151068,0.19626777,0.18997677,0.19156328,0.19595192,0.17092519
US,1.3260863,0.8763035,0.7067058,0.79906875,0.75057757,0.54904354,0.62285775,0.5312908,0.6347641,0.58519584,0.5757074,0.5734866,0.5436705
VE,0.10047695,0.06881081,0.051628828,0.04336587,0.033281285,0.015826128,0.019844938,0.016969023,0.01701099,0.009726358,0.007265829,0.003610917,0.004492657
