,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,3.0,6.0,18.0,14.0,55.0,48.0,41.0,80.0,28.0,22.0,36.0,24.0,49.0
IT,1640.0,3490.0,3112.0,1532.0,1419.0,3138.0,1508.0,2784.0,1421.0,1502.0,1560.0,1520.0,1565.0
MT,592.0,1504.0,1802.0,882.0,787.0,1516.0,533.0,1098.0,585.0,718.0,816.0,755.0,702.0
SI,231.0,462.0,400.0,130.0,125.0,260.0,211.0,378.0,227.0,296.0,237.0,308.0,146.0
DZ,176.0,192.0,200.0,84.0,126.0,288.0,71.0,164.0,128.0,252.0,229.0,250.0,134.0
BE,1954.0,3992.0,3818.0,1845.0,1790.0,3538.0,1713.0,3336.0,1738.0,1856.0,1834.0,1795.0,1734.0
HR,110.0,378.0,382.0,120.0,173.0,220.0,183.0,354.0,222.0,207.0,188.0,183.0,145.0
DO,722.0,1334.0,1162.0,660.0,638.0,1186.0,615.0,1346.0,699.0,695.0,831.0,904.0,829.0
EG,911.0,1724.0,1714.0,800.0,808.0,1806.0,730.0,1528.0,786.0,1014.0,1045.0,1063.0,926.0
FR,1782.0,3792.0,3480.0,1646.0,1639.0,3198.0,1609.0,3272.0,1713.0,1675.0,1720.0,1648.0,1670.0
DE,1696.0,3504.0,3558.0,1623.0,1496.0,2934.0,1482.0,2850.0,1496.0,1510.0,1561.0,1503.0,1492.0
GR,766.0,1152.0,1272.0,508.0,556.0,1304.0,467.0,1054.0,587.0,612.0,491.0,675.0,668.0
GT,491.0,960.0,972.0,455.0,454.0,732.0,237.0,398.0,214.0,304.0,448.0,583.0,461.0
LB,356.0,550.0,552.0,266.0,255.0,592.0,284.0,468.0,297.0,500.0,628.0,554.0,363.0
LY,123.0,304.0,378.0,92.0,78.0,144.0,105.0,362.0,173.0,177.0,181.0,185.0,187.0
ES,1895.0,3554.0,3316.0,1607.0,1611.0,3388.0,1672.0,3294.0,1752.0,1765.0,1832.0,1706.0,1750.0
MX,793.0,1266.0,1458.0,767.0,723.0,1584.0,692.0,1420.0,809.0,869.0,936.0,794.0,695.0
MA,172.0,724.0,1446.0,940.0,1125.0,2416.0,998.0,1972.0,1182.0,1080.0,1202.0,1223.0,1176.0
PT,597.0,1140.0,1608.0,805.0,845.0,1460.0,757.0,1302.0,685.0,757.0,810.0,859.0,1000.0
TN,141.0,280.0,256.0,107.0,150.0,366.0,100.0,82.0,60.0,58.0,59.0,34.0,50.0
TR,620.0,996.0,1042.0,516.0,613.0,1286.0,547.0,1212.0,578.0,714.0,708.0,904.0,861.0
JE,1974.0,4010.0,3910.0,1842.0,1794.0,3534.0,1619.0,3236.0,1712.0,1711.0,1793.0,1748.0,1754.0
US,1723.0,3182.0,3214.0,1635.0,1673.0,3364.0,1744.0,3542.0,1829.0,1726.0,1753.0,1696.0,1665.0
VE,623.0,1124.0,1174.0,599.0,574.0,724.0,425.0,1028.0,485.0,421.0,395.0,297.0,261.0
AS,332.0,742.0,458.0,171.0,94.0,192.0,94.0,184.0,87.0,96.0,113.0,105.0,107.0
AU,524.0,1198.0,1244.0,627.0,556.0,1184.0,583.0,1014.0,503.0,562.0,548.0,584.0,627.0
CA,919.0,1650.0,1692.0,770.0,727.0,1654.0,788.0,1412.0,733.0,831.0,672.0,833.0,744.0
FJ,311.0,608.0,664.0,290.0,280.0,526.0,281.0,556.0,280.0,169.0,175.0,179.0,189.0
PF,361.0,854.0,818.0,330.0,180.0,338.0,174.0,356.0,162.0,144.0,145.0,159.0,152.0
HK,1534.0,3282.0,3286.0,1465.0,1469.0,3136.0,1490.0,2702.0,1450.0,1367.0,1241.0,1099.0,1008.0
IN,903.0,2034.0,1924.0,994.0,942.0,2084.0,953.0,1744.0,891.0,929.0,1061.0,981.0,913.0
ID,769.0,1440.0,1158.0,612.0,515.0,958.0,295.0,472.0,196.0,194.0,163.0,247.0,300.0
JP,1103.0,2132.0,2110.0,1113.0,973.0,1882.0,905.0,1820.0,919.0,933.0,1007.0,850.0,770.0
MY,1252.0,2728.0,2658.0,1267.0,1237.0,2790.0,1493.0,2942.0,1518.0,1457.0,1464.0,1291.0,1297.0
MH,84.0,168.0,184.0,89.0,64.0,132.0,114.0,246.0,96.0,72.0,94.0,98.0,95.0
NC,343.0,698.0,750.0,352.0,296.0,560.0,290.0,564.0,297.0,274.0,279.0,291.0,240.0
NZ,485.0,1216.0,1144.0,379.0,328.0,588.0,332.0,692.0,334.0,313.0,366.0,335.0,317.0
PG,341.0,714.0,580.0,316.0,95.0,198.0,121.0,262.0,131.0,135.0,138.0,150.0,136.0
WS,219.0,462.0,458.0,174.0,97.0,196.0,106.0,214.0,115.0,79.0,113.0,79.0,92.0
SA,908.0,1964.0,2008.0,894.0,934.0,1946.0,822.0,1590.0,783.0,811.0,878.0,890.0,928.0
SG,1391.0,2692.0,2694.0,1445.0,1394.0,2938.0,1385.0,2692.0,1477.0,1465.0,1566.0,1478.0,1495.0
SB,283.0,376.0,434.0,212.0,103.0,274.0,151.0,322.0,173.0,151.0,177.0,167.0,158.0
KR,1201.0,2664.0,2792.0,1309.0,1269.0,2998.0,1309.0,2574.0,1324.0,1312.0,1512.0,1285.0,1401.0
TW,1172.0,2174.0,2216.0,1233.0,1173.0,2224.0,1008.0,1940.0,997.0,928.0,968.0,996.0,1054.0
TH,610.0,1292.0,1134.0,470.0,511.0,634.0,283.0,838.0,371.0,423.0,457.0,497.0,477.0
TO,121.0,224.0,162.0,80.0,90.0,182.0,100.0,214.0,115.0,70.0,113.0,108.0,110.0
VU,214.0,382.0,404.0,202.0,93.0,246.0,144.0,324.0,158.0,118.0,135.0,121.0,106.0
WF,21.0,12.0,20.0,14.0,13.0,20.0,44.0,72.0,36.0,21.0,21.0,6.0,6.0
AO,407.0,804.0,838.0,453.0,424.0,876.0,510.0,1084.0,581.0,489.0,510.0,458.0,401.0
AR,581.0,1012.0,1172.0,618.0,477.0,748.0,406.0,854.0,511.0,374.0,325.0,366.0,367.0
BJ,265.0,490.0,558.0,338.0,356.0,724.0,452.0,896.0,457.0,450.0,498.0,460.0,517.0
BR,922.0,1982.0,1938.0,935.0,713.0,1328.0,596.0,1066.0,602.0,486.0,492.0,451.0,468.0
CM,407.0,986.0,930.0,498.0,469.0,1014.0,554.0,1082.0,486.0,355.0,469.0,403.0,362.0
CV,38.0,130.0,172.0,115.0,48.0,98.0,49.0,98.0,32.0,21.0,21.0,45.0,55.0
CN,1440.0,3258.0,3500.0,1639.0,1686.0,3386.0,1551.0,3184.0,1609.0,1607.0,1692.0,1651.0,1618.0
CD,62.0,100.0,104.0,61.0,99.0,196.0,259.0,478.0,257.0,81.0,70.0,69.0,89.0
CG,392.0,830.0,924.0,438.0,309.0,862.0,496.0,918.0,492.0,391.0,399.0,380.0,342.0
CI,527.0,1116.0,1184.0,590.0,528.0,1068.0,499.0,1010.0,546.0,407.0,418.0,352.0,298.0
GQ,131.0,228.0,202.0,116.0,203.0,394.0,226.0,470.0,188.0,155.0,156.0,136.0,193.0
GA,263.0,768.0,774.0,366.0,308.0,634.0,443.0,740.0,347.0,234.0,202.0,211.0,189.0
GM,44.0,136.0,154.0,68.0,66.0,122.0,228.0,456.0,209.0,150.0,146.0,66.0,64.0
GH,525.0,1160.0,1272.0,586.0,524.0,1176.0,580.0,1070.0,552.0,502.0,490.0,435.0,420.0
LR,49.0,386.0,334.0,135.0,39.0,54.0,136.0,276.0,140.0,71.0,62.0,49.0,39.0
MR,103.0,212.0,144.0,80.0,72.0,138.0,53.0,196.0,140.0,64.0,53.0,144.0,135.0
NAB,176.0,366.0,246.0,283.0,328.0,540.0,308.0,738.0,380.0,340.0,333.0,259.0,199.0
NL,1573.0,3220.0,3184.0,1663.0,1665.0,3292.0,1516.0,2972.0,1461.0,1395.0,1496.0,1472.0,1623.0
NG,469.0,1084.0,1144.0,514.0,641.0,1198.0,605.0,1198.0,647.0,619.0,641.0,519.0,455.0
ST,43.0,42.0,56.0,28.0,88.0,152.0,91.0,194.0,75.0,53.0,45.0,52.0,49.0
SN,318.0,772.0,810.0,369.0,329.0,570.0,364.0,604.0,321.0,263.0,261.0,367.0,377.0
SL,44.0,210.0,218.0,109.0,21.0,62.0,95.0,196.0,128.0,150.0,138.0,89.0,83.0
ZA,774.0,1804.0,1628.0,789.0,893.0,1962.0,792.0,1410.0,854.0,834.0,953.0,738.0,616.0
TG,362.0,748.0,724.0,403.0,388.0,932.0,457.0,818.0,532.0,426.0,532.0,385.0,405.0
AE,853.0,1934.0,1836.0,1007.0,1025.0,2196.0,1003.0,1946.0,937.0,981.0,1086.0,1011.0,924.0
AI,25.0,56.0,-999.0,-999.0,21.0,72.0,36.0,72.0,36.0,36.0,127.0,125.0,127.0
BS,309.0,642.0,656.0,463.0,411.0,878.0,369.0,714.0,404.0,450.0,496.0,440.0,397.0
VG,46.0,86.0,46.0,23.0,36.0,74.0,30.0,62.0,31.0,30.0,125.0,139.0,140.0
DM,121.0,286.0,146.0,73.0,96.0,198.0,81.0,206.0,134.0,131.0,188.0,118.0,215.0
GP,256.0,482.0,382.0,251.0,228.0,710.0,310.0,608.0,313.0,310.0,376.0,391.0,416.0
AN,261.0,630.0,486.0,184.0,219.0,538.0,221.0,472.0,257.0,240.0,353.0,372.0,368.0
