,2006-01-01T00:00:00-05,2007-01-01T00:00:00-05,2008-01-01T00:00:00-05,2009-01-01T00:00:00-05,2010-01-01T00:00:00-05,2011-01-01T00:00:00-05,2012-01-01T00:00:00-05,2013-01-01T00:00:00-05,2014-01-01T00:00:00-05,2015-01-01T00:00:00-05,2016-01-01T00:00:00-05,2017-01-01T00:00:00-05,2018-01-01T00:00:00-05
AL,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
IT,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
MT,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
SI,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
DZ,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
BE,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
HR,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
DO,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
EG,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
FR,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
DE,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
GR,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
GT,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
LB,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
LY,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
ES,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
MX,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
MA,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
PT,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
TN,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
TR,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
JE,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
US,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
VE,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
AS,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
AU,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
CA,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
FJ,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
PF,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
HK,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
IN,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
ID,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
JP,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
MY,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
MH,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
NC,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
NZ,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
PG,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
WS,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
SA,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
SG,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
SB,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
KR,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
TW,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
TH,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
TO,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
VU,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
WF,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
AO,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
AR,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
BJ,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
BR,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
CM,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
CV,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
CN,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
CD,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
CG,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
CI,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
GQ,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
GA,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
GM,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
GH,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
LR,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
MR,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
NAB,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
NL,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
NG,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
ST,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
SN,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
SL,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
ZA,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
TG,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
AE,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
AI,174.0,175.0,-999.0,-999.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
BS,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
VG,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
DM,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
GP,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
AN,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
KN,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
VI,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
AG,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
BB,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
GD,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
HT,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
JM,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
MQ,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
LC,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
VC,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
TT,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
CL,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
CO,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
EC,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
GN,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
KW,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
OM,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
PK,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
PE,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
QA,174.0,175.0,174.0,174.0,177.0,176.0,179.0,178.0,179.0,179.0,179.0,179.0,179.0
