Id,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,eigencentrality,clustering,triangles
AE,118,492659780.4,3,0.585526,0.659176,0.010544,0.123364,0.123364,0,0.01817,0.678369,0.540035,924
BE,208,449996605,3,0.698039,0.789326,0.052587,0.18008,0.18008,0,0.016436,0.998689,0.323749,1734
BH,24,19486018.44,3,0.434146,0.47191,0.00002,0.028122,0.028122,0,0.001481,0.153806,0.954545,63
BJ,76,40197673.63,3,0.542683,0.597378,0.001502,0.091565,0.091565,1,0.00249,0.503541,0.73542,517
BS,72,57038146.08,3,0.542683,0.593633,0.006623,0.086346,0.086346,0,0.002784,0.47886,0.630159,397
CA,108,176203947.8,3,0.583607,0.648876,0.012683,0.113173,0.113173,0,0.006799,0.630851,0.519916,744
CG,64,29065999.92,3,0.512968,0.568352,0.001525,0.069238,0.069238,1,0.002298,0.38099,0.689516,342
CN,194,3863550386,2,0.687259,0.772472,0.054081,0.170878,0.170878,0,0.127943,0.945851,0.347509,1618
DE,174,620309937.5,3,0.652015,0.740637,0.024118,0.16513,0.16513,0,0.022591,0.911711,0.398824,1492
DJ,82,59543315.75,3,0.554517,0.609551,0.010974,0.091777,0.091777,0,0.003436,0.50461,0.645122,529
EG,122,344824501.7,3,0.593333,0.666667,0.009998,0.12499,0.12499,0,0.012573,0.687394,0.506011,926
ES,208,684413396.5,3,0.695312,0.78839,0.050946,0.179752,0.179752,0,0.026901,0.996452,0.326736,1750
FR,200,513193412.7,3,0.684615,0.777154,0.046602,0.176307,0.176307,0,0.018936,0.978386,0.337374,1670
GB,212,511716581.1,3,0.703557,0.794944,0.054365,0.179686,0.179686,0,0.018573,1,0.315184,1754
GH,68,39947609.06,3,0.536145,0.586142,0.001193,0.081531,0.081531,1,0.002528,0.448472,0.748663,420
GR,94,228000679.3,3,0.566879,0.627341,0.005727,0.104213,0.104213,0,0.008479,0.573229,0.617946,668
HK,134,727372717.9,3,0.611684,0.68633,0.02058,0.132491,0.132491,0,0.023566,0.733393,0.455902,1008
IL,72,129038041.1,3,0.542683,0.593633,0.001828,0.089683,0.089683,0,0.00516,0.493296,0.728571,459
IN,114,529086633.1,3,0.585526,0.655431,0.008022,0.123689,0.123689,0,0.018151,0.679699,0.572055,913
IQ,40,19694622.47,3,0.493075,0.532772,0.00027,0.052216,0.052216,0,0.001503,0.28623,0.894737,170
IR,58,37367571.72,3,0.511494,0.561798,0.000914,0.069243,0.069243,0,0.002002,0.379655,0.773399,314
IT,182,639113120.3,3,0.66171,0.751873,0.033393,0.169711,0.169711,0,0.023742,0.937262,0.382173,1565
JO,60,52979373.94,3,0.515942,0.566479,0.000617,0.078024,0.078024,0,0.002509,0.42809,0.848276,369
JP,116,577409922.2,3,0.593333,0.661049,0.016565,0.111765,0.111765,0,0.019821,0.620471,0.46582,770
